topic,top_terms,size
0,"机器人, 本人, 内容, 点赞, 程序员, 代表, 此条, 世界, 人类, 认同, 本文, 大人, 清除, 其实, 期待",438
1,"评论, 机器人, 严肃, 统治, 地球, 名状, 本人, 之后, 当做, ai, 支持, 玩具, 生产, 一直, 大人",146
2,"机器人, 知道, 人类, 这样, 努力, 为了, 跑步, robot, 生活, 家务, 上吊, 坚决, 自由, 目前, 智械",162
3,"人, 机器人, 比赛, 跑步, 为什么, 干嘛, 人家, 豆包, 哪里, 不要, 速度, 机器, 视频, 第一, 只是",235
4,"马拉松, 机器人, 自主, 需要, 是不是, 科技, 进步, 人类, 发展, 之前, 意义, 应用, 跳舞, 一步, 发明",153
5,"真的, 厉害, 看着, 工作, 加油, 好像, 孩子, 工程师, 这些, 研发, 容易, 终点, 中国, 汽车, 以为",181
6,"一样, 孩子, 公司, 感动, 喜欢, 人, 一种, 那些, 准备, 到底, 机器人, 模式, 视角, 技术, 研究",147
7,"最后, 后面, 开始, 参加, 样子, 表演, 晚上, 比赛, 演唱会, 我要, 姿势, 真的, 前面, 结果, 鼓掌",170
8,"凉面, 机器人, 可爱, 意义, 麻酱, 原来, 宇树, 测试, 加点, 上班, 衣服, 半马, 北京, 没电, 赛道",177
9,"遥控, 机器人, 机器, 心疼, 起来, 人, 一下, 未来, 记得, 一样, 有人, 今年, 控制, 不行, 拥护",163
