post_category,topic,mean_share_post_averaged,n_posts_in_category
常态|保护者,0,0.36830357142857145,1
常态|保护者,1,0.03794642857142857,1
常态|保护者,2,0.06696428571428571,1
常态|保护者,3,0.033482142857142856,1
常态|保护者,4,0.013392857142857142,1
常态|保护者,5,0.022321428571428572,1
常态|保护者,6,0.033482142857142856,1
常态|保护者,7,0.033482142857142856,1
常态|保护者,8,0.19866071428571427,1
常态|保护者,9,0.05580357142857143,1
常态|保护者,10,0.10491071428571429,1
常态|保护者,11,0.03125,1
常态|服务者,0,0.11067193675889328,2
常态|服务者,1,0.230368906455863,2
常态|服务者,2,0.08484848484848484,2
常态|服务者,3,0.05579710144927536,2
常态|服务者,4,0.05533596837944664,2
常态|服务者,5,0.08820816864295125,2
常态|服务者,6,0.0906455862977602,2
常态|服务者,7,0.021739130434782608,2
常态|服务者,8,0.08287220026350461,2
常态|服务者,9,0.08530961791831357,2
常态|服务者,10,0.03768115942028986,2
常态|服务者,11,0.05652173913043478,2
常态|观众,0,0.11809211405901243,5
常态|观众,1,0.020996291198609927,5
常态|观众,2,0.03294431614224609,5
常态|观众,3,0.10170302403824953,5
常态|观众,4,0.07009937204635204,5
常态|观众,5,0.15986287673231425,5
常态|观众,6,0.05249765619795786,5
常态|观众,7,0.10093500227050325,5
常态|观众,8,0.06353214075619017,5
常态|观众,9,0.16479880538221858,5
常态|观众,10,0.028796613337986925,5
常态|观众,11,0.08574178783835892,5
