帖子id,topic,count,n_comments,share_within_cell
69e40352000000002102fc75,0,90,690,0.13043478260869565
69e40352000000002102fc75,1,67,690,0.09710144927536232
69e40352000000002102fc75,2,23,690,0.03333333333333333
69e40352000000002102fc75,3,77,690,0.11159420289855072
69e40352000000002102fc75,4,45,690,0.06521739130434782
69e40352000000002102fc75,5,59,690,0.08550724637681159
69e40352000000002102fc75,6,31,690,0.04492753623188406
69e40352000000002102fc75,7,30,690,0.043478260869565216
69e40352000000002102fc75,8,83,690,0.12028985507246377
69e40352000000002102fc75,9,55,690,0.07971014492753623
69e40352000000002102fc75,10,52,690,0.07536231884057971
69e40352000000002102fc75,11,78,690,0.11304347826086956
69e429b4000000001b00037a,0,73,437,0.16704805491990846
69e429b4000000001b00037a,1,16,437,0.036613272311212815
69e429b4000000001b00037a,2,22,437,0.05034324942791762
69e429b4000000001b00037a,3,26,437,0.059496567505720827
69e429b4000000001b00037a,4,46,437,0.10526315789473684
69e429b4000000001b00037a,5,24,437,0.05491990846681922
69e429b4000000001b00037a,6,32,437,0.07322654462242563
69e429b4000000001b00037a,7,54,437,0.12356979405034325
69e429b4000000001b00037a,8,38,437,0.08695652173913043
69e429b4000000001b00037a,9,31,437,0.07093821510297482
69e429b4000000001b00037a,10,21,437,0.04805491990846682
69e429b4000000001b00037a,11,54,437,0.12356979405034325
69e43a5a000000001d01dcc7,0,11,64,0.171875
69e43a5a000000001d01dcc7,2,2,64,0.03125
69e43a5a000000001d01dcc7,3,6,64,0.09375
69e43a5a000000001d01dcc7,4,8,64,0.125
69e43a5a000000001d01dcc7,5,3,64,0.046875
69e43a5a000000001d01dcc7,6,1,64,0.015625
69e43a5a000000001d01dcc7,7,7,64,0.109375
69e43a5a000000001d01dcc7,8,4,64,0.0625
69e43a5a000000001d01dcc7,9,11,64,0.171875
69e43a5a000000001d01dcc7,10,2,64,0.03125
69e43a5a000000001d01dcc7,11,9,64,0.140625
69e44f3a000000002301079c,3,1,4,0.25
69e44f3a000000002301079c,5,2,4,0.5
69e44f3a000000002301079c,9,1,4,0.25
69e46032000000001f002048,0,165,448,0.36830357142857145
69e46032000000001f002048,1,17,448,0.03794642857142857
69e46032000000001f002048,2,30,448,0.06696428571428571
69e46032000000001f002048,3,15,448,0.033482142857142856
69e46032000000001f002048,4,6,448,0.013392857142857142
69e46032000000001f002048,5,10,448,0.022321428571428572
69e46032000000001f002048,6,15,448,0.033482142857142856
69e46032000000001f002048,7,15,448,0.033482142857142856
69e46032000000001f002048,8,89,448,0.19866071428571427
69e46032000000001f002048,9,25,448,0.05580357142857143
69e46032000000001f002048,10,47,448,0.10491071428571429
69e46032000000001f002048,11,14,448,0.03125
69e4c771000000002102c3fc,0,2,22,0.09090909090909091
69e4c771000000002102c3fc,1,8,22,0.36363636363636365
69e4c771000000002102c3fc,2,3,22,0.13636363636363635
69e4c771000000002102c3fc,4,1,22,0.045454545454545456
69e4c771000000002102c3fc,5,2,22,0.09090909090909091
69e4c771000000002102c3fc,6,3,22,0.13636363636363635
69e4c771000000002102c3fc,8,1,22,0.045454545454545456
69e4c771000000002102c3fc,9,2,22,0.09090909090909091
69e5a09a000000002103ba03,0,6,36,0.16666666666666666
69e5a09a000000002103ba03,1,1,36,0.027777777777777776
69e5a09a000000002103ba03,2,1,36,0.027777777777777776
69e5a09a000000002103ba03,3,1,36,0.027777777777777776
69e5a09a000000002103ba03,4,3,36,0.08333333333333333
69e5a09a000000002103ba03,5,1,36,0.027777777777777776
69e5a09a000000002103ba03,6,2,36,0.05555555555555555
69e5a09a000000002103ba03,7,5,36,0.1388888888888889
69e5a09a000000002103ba03,8,3,36,0.08333333333333333
69e5a09a000000002103ba03,9,9,36,0.25
69e5a09a000000002103ba03,10,1,36,0.027777777777777776
69e5a09a000000002103ba03,11,3,36,0.08333333333333333
69e634590000000022003bb5,0,23,271,0.08487084870848709
69e634590000000022003bb5,1,11,271,0.04059040590405904
69e634590000000022003bb5,2,15,271,0.055350553505535055
69e634590000000022003bb5,3,21,271,0.07749077490774908
69e634590000000022003bb5,4,10,271,0.03690036900369004
69e634590000000022003bb5,5,46,271,0.16974169741697417
69e634590000000022003bb5,6,32,271,0.11808118081180811
69e634590000000022003bb5,7,36,271,0.13284132841328414
69e634590000000022003bb5,8,23,271,0.08487084870848709
69e634590000000022003bb5,9,22,271,0.08118081180811808
69e634590000000022003bb5,10,10,271,0.03690036900369004
69e634590000000022003bb5,11,22,271,0.08118081180811808
