帖子id,topic,count,n_comments,share_within_cell
69e40352000000002102fc75,0,187,690,0.2710144927536232
69e40352000000002102fc75,1,8,690,0.011594202898550725
69e40352000000002102fc75,2,28,690,0.04057971014492753
69e40352000000002102fc75,3,36,690,0.05217391304347826
69e40352000000002102fc75,4,82,690,0.11884057971014493
69e40352000000002102fc75,5,8,690,0.011594202898550725
69e40352000000002102fc75,6,15,690,0.021739130434782608
69e40352000000002102fc75,7,54,690,0.0782608695652174
69e40352000000002102fc75,8,85,690,0.12318840579710146
69e40352000000002102fc75,9,53,690,0.07681159420289856
69e40352000000002102fc75,10,62,690,0.08985507246376812
69e40352000000002102fc75,11,72,690,0.10434782608695652
69e429b4000000001b00037a,0,79,437,0.18077803203661327
69e429b4000000001b00037a,1,3,437,0.006864988558352402
69e429b4000000001b00037a,2,33,437,0.07551487414187644
69e429b4000000001b00037a,3,60,437,0.13729977116704806
69e429b4000000001b00037a,4,29,437,0.06636155606407322
69e429b4000000001b00037a,5,6,437,0.013729977116704805
69e429b4000000001b00037a,6,28,437,0.06407322654462243
69e429b4000000001b00037a,7,28,437,0.06407322654462243
69e429b4000000001b00037a,8,55,437,0.12585812356979406
69e429b4000000001b00037a,9,10,437,0.02288329519450801
69e429b4000000001b00037a,10,46,437,0.10526315789473684
69e429b4000000001b00037a,11,60,437,0.13729977116704806
69e43a5a000000001d01dcc7,0,16,64,0.25
69e43a5a000000001d01dcc7,2,13,64,0.203125
69e43a5a000000001d01dcc7,3,4,64,0.0625
69e43a5a000000001d01dcc7,4,3,64,0.046875
69e43a5a000000001d01dcc7,5,1,64,0.015625
69e43a5a000000001d01dcc7,6,4,64,0.0625
69e43a5a000000001d01dcc7,7,3,64,0.046875
69e43a5a000000001d01dcc7,8,7,64,0.109375
69e43a5a000000001d01dcc7,9,1,64,0.015625
69e43a5a000000001d01dcc7,10,4,64,0.0625
69e43a5a000000001d01dcc7,11,8,64,0.125
69e44f3a000000002301079c,10,3,4,0.75
69e44f3a000000002301079c,11,1,4,0.25
69e46032000000001f002048,0,109,448,0.24330357142857142
69e46032000000001f002048,1,101,448,0.22544642857142858
69e46032000000001f002048,2,2,448,0.004464285714285714
69e46032000000001f002048,3,8,448,0.017857142857142856
69e46032000000001f002048,4,28,448,0.0625
69e46032000000001f002048,5,80,448,0.17857142857142858
69e46032000000001f002048,6,6,448,0.013392857142857142
69e46032000000001f002048,7,24,448,0.05357142857142857
69e46032000000001f002048,8,20,448,0.044642857142857144
69e46032000000001f002048,9,14,448,0.03125
69e46032000000001f002048,10,22,448,0.049107142857142856
69e46032000000001f002048,11,34,448,0.07589285714285714
69e4c771000000002102c3fc,0,1,22,0.045454545454545456
69e4c771000000002102c3fc,1,1,22,0.045454545454545456
69e4c771000000002102c3fc,2,1,22,0.045454545454545456
69e4c771000000002102c3fc,4,4,22,0.18181818181818182
69e4c771000000002102c3fc,6,1,22,0.045454545454545456
69e4c771000000002102c3fc,8,4,22,0.18181818181818182
69e4c771000000002102c3fc,9,1,22,0.045454545454545456
69e4c771000000002102c3fc,10,8,22,0.36363636363636365
69e4c771000000002102c3fc,11,1,22,0.045454545454545456
69e5a09a000000002103ba03,0,6,36,0.16666666666666666
69e5a09a000000002103ba03,1,1,36,0.027777777777777776
69e5a09a000000002103ba03,2,5,36,0.1388888888888889
69e5a09a000000002103ba03,3,1,36,0.027777777777777776
69e5a09a000000002103ba03,4,3,36,0.08333333333333333
69e5a09a000000002103ba03,7,2,36,0.05555555555555555
69e5a09a000000002103ba03,8,5,36,0.1388888888888889
69e5a09a000000002103ba03,9,4,36,0.1111111111111111
69e5a09a000000002103ba03,10,3,36,0.08333333333333333
69e5a09a000000002103ba03,11,6,36,0.16666666666666666
69e634590000000022003bb5,0,57,271,0.21033210332103322
69e634590000000022003bb5,1,1,271,0.0036900369003690036
69e634590000000022003bb5,2,13,271,0.04797047970479705
69e634590000000022003bb5,3,9,271,0.033210332103321034
69e634590000000022003bb5,4,21,271,0.07749077490774908
69e634590000000022003bb5,6,36,271,0.13284132841328414
69e634590000000022003bb5,7,17,271,0.06273062730627306
69e634590000000022003bb5,8,6,271,0.02214022140221402
69e634590000000022003bb5,9,17,271,0.06273062730627306
69e634590000000022003bb5,10,33,271,0.12177121771217712
69e634590000000022003bb5,11,61,271,0.22509225092250923
