帖子id,topic,count,n_comments,share_within_cell
69e42cc100000000220001ad,0,151,696,0.21695402298850575
69e42cc100000000220001ad,1,123,696,0.17672413793103448
69e42cc100000000220001ad,2,7,696,0.010057471264367816
69e42cc100000000220001ad,3,69,696,0.09913793103448276
69e42cc100000000220001ad,4,76,696,0.10919540229885058
69e42cc100000000220001ad,5,1,696,0.0014367816091954023
69e42cc100000000220001ad,6,47,696,0.06752873563218391
69e42cc100000000220001ad,7,52,696,0.07471264367816093
69e42cc100000000220001ad,8,56,696,0.08045977011494253
69e42cc100000000220001ad,9,35,696,0.05028735632183908
69e42cc100000000220001ad,11,21,696,0.03017241379310345
69e42cc100000000220001ad,12,45,696,0.06465517241379311
69e42cc100000000220001ad,13,1,696,0.0014367816091954023
69e42cc100000000220001ad,16,12,696,0.017241379310344827
69e43b14000000001a02e095,0,108,552,0.1956521739130435
69e43b14000000001a02e095,1,46,552,0.08333333333333333
69e43b14000000001a02e095,2,293,552,0.5307971014492754
69e43b14000000001a02e095,3,35,552,0.06340579710144928
69e43b14000000001a02e095,4,11,552,0.019927536231884056
69e43b14000000001a02e095,6,7,552,0.012681159420289856
69e43b14000000001a02e095,7,1,552,0.0018115942028985507
69e43b14000000001a02e095,8,6,552,0.010869565217391304
69e43b14000000001a02e095,9,7,552,0.012681159420289856
69e43b14000000001a02e095,11,5,552,0.009057971014492754
69e43b14000000001a02e095,12,2,552,0.0036231884057971015
69e43b14000000001a02e095,14,23,552,0.041666666666666664
69e43b14000000001a02e095,16,8,552,0.014492753623188406
69e48d54000000002102e178,0,54,196,0.2755102040816326
69e48d54000000002102e178,1,53,196,0.27040816326530615
69e48d54000000002102e178,2,5,196,0.025510204081632654
69e48d54000000002102e178,3,3,196,0.015306122448979591
69e48d54000000002102e178,4,6,196,0.030612244897959183
69e48d54000000002102e178,5,1,196,0.00510204081632653
69e48d54000000002102e178,6,1,196,0.00510204081632653
69e48d54000000002102e178,7,3,196,0.015306122448979591
69e48d54000000002102e178,9,1,196,0.00510204081632653
69e48d54000000002102e178,10,1,196,0.00510204081632653
69e48d54000000002102e178,11,20,196,0.10204081632653061
69e48d54000000002102e178,13,34,196,0.17346938775510204
69e48d54000000002102e178,14,13,196,0.0663265306122449
69e48d54000000002102e178,15,1,196,0.00510204081632653
69e59e520000000022027a90,0,401,970,0.4134020618556701
69e59e520000000022027a90,1,305,970,0.31443298969072164
69e59e520000000022027a90,2,16,970,0.016494845360824743
69e59e520000000022027a90,3,8,970,0.008247422680412371
69e59e520000000022027a90,4,11,970,0.01134020618556701
69e59e520000000022027a90,5,87,970,0.08969072164948454
69e59e520000000022027a90,6,15,970,0.015463917525773196
69e59e520000000022027a90,7,19,970,0.01958762886597938
69e59e520000000022027a90,8,1,970,0.0010309278350515464
69e59e520000000022027a90,9,3,970,0.003092783505154639
69e59e520000000022027a90,10,54,970,0.05567010309278351
69e59e520000000022027a90,11,4,970,0.004123711340206186
69e59e520000000022027a90,13,3,970,0.003092783505154639
69e59e520000000022027a90,14,1,970,0.0010309278350515464
69e59e520000000022027a90,15,34,970,0.03505154639175258
69e59e520000000022027a90,16,8,970,0.008247422680412371
69e6f2bc0000000023005345,0,32,151,0.2119205298013245
69e6f2bc0000000023005345,1,35,151,0.23178807947019867
69e6f2bc0000000023005345,2,3,151,0.019867549668874173
69e6f2bc0000000023005345,3,26,151,0.17218543046357615
69e6f2bc0000000023005345,4,12,151,0.07947019867549669
69e6f2bc0000000023005345,5,2,151,0.013245033112582781
69e6f2bc0000000023005345,6,14,151,0.09271523178807947
69e6f2bc0000000023005345,7,1,151,0.006622516556291391
69e6f2bc0000000023005345,8,7,151,0.046357615894039736
69e6f2bc0000000023005345,9,13,151,0.08609271523178808
69e6f2bc0000000023005345,11,2,151,0.013245033112582781
69e6f2bc0000000023005345,13,1,151,0.006622516556291391
69e6f2bc0000000023005345,16,3,151,0.019867549668874173
