帖子id,topic,count,n_comments,share_within_cell
69e42cc100000000220001ad,0,172,935,0.1839572192513369
69e42cc100000000220001ad,1,154,935,0.16470588235294117
69e42cc100000000220001ad,2,329,935,0.3518716577540107
69e42cc100000000220001ad,3,266,935,0.28449197860962566
69e42cc100000000220001ad,4,14,935,0.014973262032085561
69e43b14000000001a02e095,0,124,673,0.18424962852897475
69e43b14000000001a02e095,1,75,673,0.11144130757800892
69e43b14000000001a02e095,2,111,673,0.1649331352154532
69e43b14000000001a02e095,3,66,673,0.09806835066864784
69e43b14000000001a02e095,4,297,673,0.4413075780089153
69e48d54000000002102e178,0,81,278,0.29136690647482016
69e48d54000000002102e178,1,105,278,0.3776978417266187
69e48d54000000002102e178,2,53,278,0.1906474820143885
69e48d54000000002102e178,3,34,278,0.1223021582733813
69e48d54000000002102e178,4,5,278,0.017985611510791366
69e59e520000000022027a90,0,546,1275,0.42823529411764705
69e59e520000000022027a90,1,433,1275,0.3396078431372549
69e59e520000000022027a90,2,54,1275,0.042352941176470586
69e59e520000000022027a90,3,221,1275,0.17333333333333334
69e59e520000000022027a90,4,21,1275,0.01647058823529412
69e6f2bc0000000023005345,0,37,245,0.1510204081632653
69e6f2bc0000000023005345,1,57,245,0.23265306122448978
69e6f2bc0000000023005345,2,102,245,0.4163265306122449
69e6f2bc0000000023005345,3,45,245,0.1836734693877551
69e6f2bc0000000023005345,4,4,245,0.0163265306122449
