post_category,topic,mean_share_post_averaged,n_posts_in_category
弱势|保护者,0,0.23741007194244604,1
弱势|保护者,1,0.09712230215827339,1
弱势|保护者,2,0.14388489208633093,1
弱势|保护者,3,0.03237410071942446,1
弱势|保护者,4,0.046762589928057555,1
弱势|保护者,5,0.04316546762589928,1
弱势|保护者,6,0.046762589928057555,1
弱势|保护者,7,0.025179856115107913,1
弱势|保护者,8,0.039568345323741004,1
弱势|保护者,9,0.15467625899280577,1
弱势|保护者,10,0.046762589928057555,1
弱势|保护者,11,0.08633093525179857,1
弱势|服务者,0,0.19910846953937592,1
弱势|服务者,1,0.06537890044576523,1
弱势|服务者,2,0.1099554234769688,1
弱势|服务者,3,0.13075780089153047,1
弱势|服务者,4,0.03714710252600297,1
弱势|服务者,5,0.04457652303120357,1
弱势|服务者,6,0.05200594353640416,1
弱势|服务者,7,0.12184249628528974,1
弱势|服务者,8,0.08469539375928678,1
弱势|服务者,9,0.03863298662704309,1
弱势|服务者,10,0.06092124814264487,1
弱势|服务者,11,0.0549777117384844,1
弱势|观众,0,0.21103132161955687,3
弱势|观众,1,0.07186389707398111,3
弱势|观众,2,0.08088277735336559,3
弱势|观众,3,0.05014175367116544,3
弱势|观众,4,0.08806674184825446,3
弱势|观众,5,0.06995670995670995,3
弱势|观众,6,0.07623121976063152,3
弱势|观众,7,0.07606485018249724,3
弱势|观众,8,0.07526113475693308,3
弱势|观众,9,0.06538712454678841,3
弱势|观众,10,0.061762886972971005,3
弱势|观众,11,0.07334958225714529,3
