post_category,topic,mean_share_post_averaged,n_posts_in_category
弱势|保护者,0,0.26618705035971224,1
弱势|保护者,1,0.07553956834532374,1
弱势|保护者,2,0.24100719424460432,1
弱势|保护者,3,0.13309352517985612,1
弱势|保护者,4,0.2841726618705036,1
弱势|服务者,0,0.21545319465081725,1
弱势|服务者,1,0.1263001485884101,1
弱势|服务者,2,0.1485884101040119,1
弱势|服务者,3,0.06092124814264487,1
弱势|服务者,4,0.4487369985141159,1
弱势|观众,0,0.2662029660348988,3
弱势|观众,1,0.18994894927668038,3
弱势|观众,2,0.10807717026204422,3
弱势|观众,3,0.1631629621545588,3
弱势|观众,4,0.27260795227181783,3
