帖子id,topic,count,n_comments,share_within_cell
69e42cc100000000220001ad,0,161,935,0.17219251336898395
69e42cc100000000220001ad,1,172,935,0.1839572192513369
69e42cc100000000220001ad,2,106,935,0.11336898395721925
69e42cc100000000220001ad,3,40,935,0.0427807486631016
69e42cc100000000220001ad,4,75,935,0.08021390374331551
69e42cc100000000220001ad,5,143,935,0.15294117647058825
69e42cc100000000220001ad,6,238,935,0.2545454545454545
69e43b14000000001a02e095,0,105,673,0.15601783060921248
69e43b14000000001a02e095,1,60,673,0.08915304606240713
69e43b14000000001a02e095,2,47,673,0.06983655274888559
69e43b14000000001a02e095,3,20,673,0.029717682020802376
69e43b14000000001a02e095,4,46,673,0.06835066864784546
69e43b14000000001a02e095,5,77,673,0.11441307578008915
69e43b14000000001a02e095,6,318,673,0.4725111441307578
69e48d54000000002102e178,0,60,278,0.2158273381294964
69e48d54000000002102e178,1,10,278,0.03597122302158273
69e48d54000000002102e178,2,52,278,0.18705035971223022
69e48d54000000002102e178,3,30,278,0.1079136690647482
69e48d54000000002102e178,4,33,278,0.11870503597122302
69e48d54000000002102e178,5,29,278,0.10431654676258993
69e48d54000000002102e178,6,64,278,0.2302158273381295
69e59e520000000022027a90,0,332,1275,0.2603921568627451
69e59e520000000022027a90,1,43,1275,0.03372549019607843
69e59e520000000022027a90,2,29,1275,0.022745098039215685
69e59e520000000022027a90,3,147,1275,0.11529411764705882
69e59e520000000022027a90,4,139,1275,0.10901960784313726
69e59e520000000022027a90,5,271,1275,0.21254901960784314
69e59e520000000022027a90,6,314,1275,0.24627450980392157
69e6f2bc0000000023005345,0,39,245,0.15918367346938775
69e6f2bc0000000023005345,1,60,245,0.24489795918367346
69e6f2bc0000000023005345,2,20,245,0.08163265306122448
69e6f2bc0000000023005345,3,22,245,0.08979591836734693
69e6f2bc0000000023005345,4,13,245,0.053061224489795916
69e6f2bc0000000023005345,5,41,245,0.1673469387755102
69e6f2bc0000000023005345,6,50,245,0.20408163265306123
