帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,57,2202,0.025885558583106268
69da7e87000000001a03484e,1,329,2202,0.1494096276112625
69da7e87000000001a03484e,2,151,2202,0.06857402361489555
69da7e87000000001a03484e,3,128,2202,0.05812897366030881
69da7e87000000001a03484e,4,82,2202,0.03723887375113533
69da7e87000000001a03484e,5,18,2202,0.008174386920980926
69da7e87000000001a03484e,6,238,2202,0.1080835603996367
69da7e87000000001a03484e,8,3,2202,0.0013623978201634877
69da7e87000000001a03484e,9,107,2202,0.0485921889191644
69da7e87000000001a03484e,10,98,2202,0.04450499545867393
69da7e87000000001a03484e,11,74,2202,0.03360581289736603
69da7e87000000001a03484e,12,70,2202,0.03178928247048138
69da7e87000000001a03484e,13,28,2202,0.012715712988192553
69da7e87000000001a03484e,14,78,2202,0.035422343324250684
69da7e87000000001a03484e,15,140,2202,0.06357856494096276
69da7e87000000001a03484e,16,1,2202,0.00045413260672116256
69da7e87000000001a03484e,17,44,2202,0.019981834695731154
69da7e87000000001a03484e,18,23,2202,0.01044504995458674
69da7e87000000001a03484e,19,39,2202,0.017711171662125342
69da7e87000000001a03484e,20,5,2202,0.002270663033605813
69da7e87000000001a03484e,21,30,2202,0.013623978201634877
69da7e87000000001a03484e,22,25,2202,0.011353315168029064
69da7e87000000001a03484e,23,5,2202,0.002270663033605813
69da7e87000000001a03484e,24,45,2202,0.020435967302452316
69da7e87000000001a03484e,25,1,2202,0.00045413260672116256
69da7e87000000001a03484e,26,1,2202,0.00045413260672116256
69da7e87000000001a03484e,27,3,2202,0.0013623978201634877
69da7e87000000001a03484e,28,35,2202,0.01589464123524069
69da7e87000000001a03484e,30,59,2202,0.026793823796548592
69da7e87000000001a03484e,31,1,2202,0.00045413260672116256
69da7e87000000001a03484e,32,1,2202,0.00045413260672116256
69da7e87000000001a03484e,33,12,2202,0.005449591280653951
69da7e87000000001a03484e,34,1,2202,0.00045413260672116256
69da7e87000000001a03484e,35,23,2202,0.01044504995458674
69da7e87000000001a03484e,36,62,2202,0.02815622161671208
69da7e87000000001a03484e,37,13,2202,0.005903723887375113
69da7e87000000001a03484e,38,67,2202,0.030426884650317895
69da7e87000000001a03484e,39,11,2202,0.004995458673932788
69da7e87000000001a03484e,40,14,2202,0.006357856494096276
69da7e87000000001a03484e,41,1,2202,0.00045413260672116256
69da7e87000000001a03484e,42,16,2202,0.007266121707538601
69da7e87000000001a03484e,43,2,2202,0.0009082652134423251
69da7e87000000001a03484e,44,17,2202,0.007720254314259764
69da7e87000000001a03484e,45,4,2202,0.0018165304268846503
69da7e87000000001a03484e,46,36,2202,0.01634877384196185
69da7e87000000001a03484e,47,4,2202,0.0018165304268846503
69e4412a000000002103883f,0,25,150,0.16666666666666666
69e4412a000000002103883f,1,19,150,0.12666666666666668
69e4412a000000002103883f,2,7,150,0.04666666666666667
69e4412a000000002103883f,3,5,150,0.03333333333333333
69e4412a000000002103883f,4,10,150,0.06666666666666667
69e4412a000000002103883f,5,1,150,0.006666666666666667
69e4412a000000002103883f,6,4,150,0.02666666666666667
69e4412a000000002103883f,7,1,150,0.006666666666666667
69e4412a000000002103883f,8,3,150,0.02
69e4412a000000002103883f,9,2,150,0.013333333333333334
69e4412a000000002103883f,10,5,150,0.03333333333333333
69e4412a000000002103883f,11,6,150,0.04
69e4412a000000002103883f,13,9,150,0.06
69e4412a000000002103883f,14,4,150,0.02666666666666667
69e4412a000000002103883f,15,1,150,0.006666666666666667
69e4412a000000002103883f,17,5,150,0.03333333333333333
69e4412a000000002103883f,18,1,150,0.006666666666666667
69e4412a000000002103883f,19,6,150,0.04
69e4412a000000002103883f,21,3,150,0.02
69e4412a000000002103883f,22,1,150,0.006666666666666667
69e4412a000000002103883f,23,1,150,0.006666666666666667
69e4412a000000002103883f,26,2,150,0.013333333333333334
69e4412a000000002103883f,33,2,150,0.013333333333333334
69e4412a000000002103883f,35,1,150,0.006666666666666667
69e4412a000000002103883f,39,5,150,0.03333333333333333
69e4412a000000002103883f,41,1,150,0.006666666666666667
69e4412a000000002103883f,42,1,150,0.006666666666666667
69e4412a000000002103883f,44,1,150,0.006666666666666667
69e4412a000000002103883f,45,5,150,0.03333333333333333
69e4412a000000002103883f,46,13,150,0.08666666666666667
69e44278000000001a0217bb,0,3,91,0.03296703296703297
69e44278000000001a0217bb,1,8,91,0.08791208791208792
69e44278000000001a0217bb,2,9,91,0.0989010989010989
69e44278000000001a0217bb,3,1,91,0.01098901098901099
69e44278000000001a0217bb,4,6,91,0.06593406593406594
69e44278000000001a0217bb,5,1,91,0.01098901098901099
69e44278000000001a0217bb,6,3,91,0.03296703296703297
69e44278000000001a0217bb,9,6,91,0.06593406593406594
69e44278000000001a0217bb,10,1,91,0.01098901098901099
69e44278000000001a0217bb,11,6,91,0.06593406593406594
69e44278000000001a0217bb,13,1,91,0.01098901098901099
69e44278000000001a0217bb,15,1,91,0.01098901098901099
69e44278000000001a0217bb,17,7,91,0.07692307692307693
69e44278000000001a0217bb,19,8,91,0.08791208791208792
69e44278000000001a0217bb,22,2,91,0.02197802197802198
69e44278000000001a0217bb,24,1,91,0.01098901098901099
69e44278000000001a0217bb,25,1,91,0.01098901098901099
69e44278000000001a0217bb,28,3,91,0.03296703296703297
69e44278000000001a0217bb,31,1,91,0.01098901098901099
69e44278000000001a0217bb,33,2,91,0.02197802197802198
69e44278000000001a0217bb,35,2,91,0.02197802197802198
69e44278000000001a0217bb,37,1,91,0.01098901098901099
69e44278000000001a0217bb,39,4,91,0.04395604395604396
69e44278000000001a0217bb,42,1,91,0.01098901098901099
69e44278000000001a0217bb,44,8,91,0.08791208791208792
69e44278000000001a0217bb,45,3,91,0.03296703296703297
69e44278000000001a0217bb,48,1,91,0.01098901098901099
69e447d2000000001d01aa01,0,23,454,0.05066079295154185
69e447d2000000001d01aa01,1,15,454,0.03303964757709251
69e447d2000000001d01aa01,2,7,454,0.015418502202643172
69e447d2000000001d01aa01,3,2,454,0.004405286343612335
69e447d2000000001d01aa01,4,11,454,0.024229074889867842
69e447d2000000001d01aa01,5,230,454,0.5066079295154186
69e447d2000000001d01aa01,6,8,454,0.01762114537444934
69e447d2000000001d01aa01,8,1,454,0.0022026431718061676
