post_category,topic,mean_share_post_averaged,n_posts_in_category
强势|服务者,0,0.0873299142257328,4
强势|服务者,1,0.20557643860413763,4
强势|服务者,2,0.12127046641575344,4
强势|服务者,3,0.0969074135194499,4
强势|服务者,4,0.09277315979861456,4
强势|服务者,5,0.05100992444484058,4
强势|服务者,6,0.11310831414038361,4
强势|服务者,7,0.06879871272736854,4
强势|服务者,8,0.06988698926302281,4
强势|服务者,9,0.09333866686069614,4
强势|被超越者,0,0.20363915477695504,2
强势|被超越者,1,0.08761964962976342,2
强势|被超越者,2,0.08659021130576125,2
强势|被超越者,3,0.06328336644392271,2
强势|被超越者,4,0.06822286436698574,2
强势|被超越者,5,0.09833845042441755,2
强势|被超越者,6,0.10428932635000904,2
强势|被超越者,7,0.08523568719523208,2
强势|被超越者,8,0.08506411414123172,2
强势|被超越者,9,0.11771717536572152,2
强势|观众,0,0.15789091361638988,5
强势|观众,1,0.11601560242685408,5
强势|观众,2,0.09164496508646107,5
强势|观众,3,0.0574530251192731,5
强势|观众,4,0.09255194406288933,5
强势|观众,5,0.11063153258641963,5
强势|观众,6,0.05671499608180288,5
强势|观众,7,0.10912967240231859,5
强势|观众,8,0.10568151889067208,5
强势|观众,9,0.10228582972691935,5
