post_category,topic,mean_share_post_averaged,n_posts_in_category
强势|服务者,0,0.16123961653137178,4
强势|服务者,1,0.1433940441071908,4
强势|服务者,2,0.1520236938823048,4
强势|服务者,3,0.14377644201350792,4
强势|服务者,4,0.39956620346562466,4
强势|被超越者,0,0.24687556438504604,2
强势|被超越者,1,0.15670037926675096,2
强势|被超越者,2,0.09168322196135091,2
强势|被超越者,3,0.06259707422792125,2
强势|被超越者,4,0.44214376015893087,2
强势|观众,0,0.23045901392528964,5
强势|观众,1,0.15397665537239072,5
强势|观众,2,0.08815446556532229,5
强势|观众,3,0.04091943956893244,5
强势|观众,4,0.48649042556806493,5
