帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,946,4053,0.23340735257833703
69da7e87000000001a03484e,1,415,4053,0.10239328892178633
69da7e87000000001a03484e,2,153,4053,0.03774981495188749
69da7e87000000001a03484e,3,176,4053,0.04342462373550456
69da7e87000000001a03484e,4,1171,4053,0.28892178633111276
69da7e87000000001a03484e,5,943,4053,0.23266716012830002
69da7e87000000001a03484e,6,249,4053,0.0614359733530718
69e4412a000000002103883f,0,62,294,0.2108843537414966
69e4412a000000002103883f,1,47,294,0.1598639455782313
69e4412a000000002103883f,2,37,294,0.12585034013605442
69e4412a000000002103883f,3,13,294,0.04421768707482993
69e4412a000000002103883f,4,75,294,0.25510204081632654
69e4412a000000002103883f,5,38,294,0.1292517006802721
69e4412a000000002103883f,6,22,294,0.07482993197278912
69e44278000000001a0217bb,0,67,226,0.29646017699115046
69e44278000000001a0217bb,1,33,226,0.14601769911504425
69e44278000000001a0217bb,2,10,226,0.04424778761061947
69e44278000000001a0217bb,3,5,226,0.022123893805309734
69e44278000000001a0217bb,4,45,226,0.19911504424778761
69e44278000000001a0217bb,5,54,226,0.23893805309734514
69e44278000000001a0217bb,6,12,226,0.05309734513274336
69e447d2000000001d01aa01,0,136,891,0.1526374859708193
69e447d2000000001d01aa01,1,49,891,0.05499438832772166
69e447d2000000001d01aa01,2,39,891,0.04377104377104377
69e447d2000000001d01aa01,3,14,891,0.015712682379349047
69e447d2000000001d01aa01,4,144,891,0.16161616161616163
69e447d2000000001d01aa01,5,171,891,0.1919191919191919
69e447d2000000001d01aa01,6,338,891,0.3793490460157127
69e44fbf000000001e00cc6a,4,1,8,0.125
69e44fbf000000001e00cc6a,6,7,8,0.875
69e4551e000000001f005895,0,38,245,0.15510204081632653
69e4551e000000001f005895,1,21,245,0.08571428571428572
69e4551e000000001f005895,2,31,245,0.12653061224489795
69e4551e000000001f005895,3,19,245,0.07755102040816327
69e4551e000000001f005895,4,61,245,0.24897959183673468
69e4551e000000001f005895,5,60,245,0.24489795918367346
69e4551e000000001f005895,6,15,245,0.061224489795918366
69e45dbe000000001f00434f,0,47,334,0.1407185628742515
69e45dbe000000001f00434f,1,49,334,0.1467065868263473
69e45dbe000000001f00434f,2,25,334,0.0748502994011976
69e45dbe000000001f00434f,3,5,334,0.014970059880239521
69e45dbe000000001f00434f,4,122,334,0.3652694610778443
69e45dbe000000001f00434f,5,60,334,0.17964071856287425
69e45dbe000000001f00434f,6,26,334,0.07784431137724551
69e463df000000001b003017,0,34,153,0.2222222222222222
69e463df000000001b003017,1,8,153,0.05228758169934641
69e463df000000001b003017,2,26,153,0.16993464052287582
69e463df000000001b003017,3,10,153,0.06535947712418301
69e463df000000001b003017,4,35,153,0.22875816993464052
69e463df000000001b003017,5,18,153,0.11764705882352941
69e463df000000001b003017,6,22,153,0.1437908496732026
69e46730000000001d0199c8,0,103,399,0.2581453634085213
69e46730000000001d0199c8,1,30,399,0.07518796992481203
69e46730000000001d0199c8,2,27,399,0.06766917293233082
69e46730000000001d0199c8,3,8,399,0.020050125313283207
69e46730000000001d0199c8,4,134,399,0.3358395989974937
69e46730000000001d0199c8,5,68,399,0.17042606516290726
69e46730000000001d0199c8,6,29,399,0.07268170426065163
69e481e8000000002003ad94,0,1347,7553,0.17833973255660002
69e481e8000000002003ad94,1,893,7553,0.11823116642393751
69e481e8000000002003ad94,2,456,7553,0.06037336157818086
69e481e8000000002003ad94,3,1291,7553,0.1709254600820866
69e481e8000000002003ad94,4,1793,7553,0.2373891169071892
69e481e8000000002003ad94,5,1085,7553,0.14365152919369786
69e481e8000000002003ad94,6,688,7553,0.09108963325830796
69e48341000000001a02d0c4,0,170,676,0.2514792899408284
69e48341000000001a02d0c4,1,64,676,0.09467455621301775
69e48341000000001a02d0c4,2,48,676,0.07100591715976332
69e48341000000001a02d0c4,3,32,676,0.047337278106508875
69e48341000000001a02d0c4,4,231,676,0.34171597633136097
69e48341000000001a02d0c4,5,88,676,0.1301775147928994
69e48341000000001a02d0c4,6,43,676,0.06360946745562131
