帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,3702,3805,0.9729303547963206
69da7e87000000001a03484e,1,103,3805,0.02706964520367937
69db34bb000000001a0348ae,0,280,286,0.9790209790209791
69db34bb000000001a0348ae,1,6,286,0.02097902097902098
69e2583b00000000230211ea,0,1125,1134,0.9920634920634921
69e2583b00000000230211ea,1,9,1134,0.007936507936507936
69e41e24000000001a025f1a,0,65,75,0.8666666666666667
69e41e24000000001a025f1a,1,10,75,0.13333333333333333
69e42cc100000000220001ad,0,881,898,0.9810690423162584
69e42cc100000000220001ad,1,17,898,0.01893095768374165
69e43a5a000000001d01dcc7,0,64,66,0.9696969696969697
69e43a5a000000001d01dcc7,1,2,66,0.030303030303030304
69e4426b000000001d01c7ed,0,1313,1340,0.9798507462686568
69e4426b000000001d01c7ed,1,27,1340,0.020149253731343283
69e44278000000001a0217bb,0,221,223,0.9910313901345291
69e44278000000001a0217bb,1,2,223,0.008968609865470852
69e44f3a000000002301079c,0,5,5,1.0
69e44fbf000000001e00cc6a,0,8,8,1.0
69e4551e000000001f005895,0,231,247,0.9352226720647774
69e4551e000000001f005895,1,16,247,0.06477732793522267
69e47f8f000000001f007203,0,1936,1973,0.9812468322351748
69e47f8f000000001f007203,1,37,1973,0.01875316776482514
69e481e8000000002003ad94,0,5898,7346,0.802885924312551
69e481e8000000002003ad94,1,1448,7346,0.19711407568744896
69e48d54000000002102e178,0,293,299,0.979933110367893
69e48d54000000002102e178,1,6,299,0.020066889632107024
69e5a09a000000002103ba03,0,35,35,1.0
69e6f2bc0000000023005345,0,233,237,0.9831223628691983
69e6f2bc0000000023005345,1,4,237,0.016877637130801686
