帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,847,4129,0.20513441511261807
69da7e87000000001a03484e,1,735,4129,0.17800920319689997
69da7e87000000001a03484e,2,464,4129,0.11237587793654638
69da7e87000000001a03484e,3,666,4129,0.1612981351416808
69da7e87000000001a03484e,4,519,4129,0.1256962945023008
69da7e87000000001a03484e,5,103,4129,0.02494550738677646
69da7e87000000001a03484e,6,398,4129,0.09639137805764107
69da7e87000000001a03484e,7,290,4129,0.07023492371034148
69da7e87000000001a03484e,8,36,4129,0.00871881811576653
69da7e87000000001a03484e,9,71,4129,0.017195446839428433
69db34bb000000001a0348ae,0,135,293,0.46075085324232085
69db34bb000000001a0348ae,1,21,293,0.07167235494880546
69db34bb000000001a0348ae,2,83,293,0.2832764505119454
69db34bb000000001a0348ae,3,11,293,0.03754266211604096
69db34bb000000001a0348ae,4,28,293,0.09556313993174062
69db34bb000000001a0348ae,5,6,293,0.020477815699658702
69db34bb000000001a0348ae,6,1,293,0.0034129692832764505
69db34bb000000001a0348ae,7,4,293,0.013651877133105802
69db34bb000000001a0348ae,8,2,293,0.006825938566552901
69db34bb000000001a0348ae,9,2,293,0.006825938566552901
69e2583b00000000230211ea,0,248,1198,0.20701168614357263
69e2583b00000000230211ea,1,386,1198,0.32220367278797996
69e2583b00000000230211ea,2,193,1198,0.16110183639398998
69e2583b00000000230211ea,3,80,1198,0.0667779632721202
69e2583b00000000230211ea,4,152,1198,0.12687813021702837
69e2583b00000000230211ea,5,9,1198,0.007512520868113523
69e2583b00000000230211ea,6,43,1198,0.03589315525876461
69e2583b00000000230211ea,7,61,1198,0.05091819699499165
69e2583b00000000230211ea,8,8,1198,0.00667779632721202
69e2583b00000000230211ea,9,18,1198,0.015025041736227046
69e41e24000000001a025f1a,0,15,77,0.19480519480519481
69e41e24000000001a025f1a,1,18,77,0.23376623376623376
69e41e24000000001a025f1a,2,16,77,0.2077922077922078
69e41e24000000001a025f1a,3,11,77,0.14285714285714285
69e41e24000000001a025f1a,4,4,77,0.05194805194805195
69e41e24000000001a025f1a,5,10,77,0.12987012987012986
69e41e24000000001a025f1a,9,3,77,0.03896103896103896
69e42cc100000000220001ad,0,131,936,0.13995726495726496
69e42cc100000000220001ad,1,279,936,0.2980769230769231
69e42cc100000000220001ad,2,104,936,0.1111111111111111
69e42cc100000000220001ad,3,69,936,0.07371794871794872
69e42cc100000000220001ad,4,54,936,0.057692307692307696
69e42cc100000000220001ad,5,17,936,0.018162393162393164
69e42cc100000000220001ad,6,32,936,0.03418803418803419
69e42cc100000000220001ad,7,14,936,0.014957264957264958
69e42cc100000000220001ad,8,233,936,0.24893162393162394
69e42cc100000000220001ad,9,3,936,0.003205128205128205
69e43a5a000000001d01dcc7,0,13,68,0.19117647058823528
69e43a5a000000001d01dcc7,1,11,68,0.16176470588235295
69e43a5a000000001d01dcc7,2,16,68,0.23529411764705882
69e43a5a000000001d01dcc7,3,10,68,0.14705882352941177
69e43a5a000000001d01dcc7,4,1,68,0.014705882352941176
69e43a5a000000001d01dcc7,5,2,68,0.029411764705882353
69e43a5a000000001d01dcc7,7,1,68,0.014705882352941176
69e43a5a000000001d01dcc7,8,3,68,0.04411764705882353
69e43a5a000000001d01dcc7,9,11,68,0.16176470588235295
69e4426b000000001d01c7ed,0,264,1399,0.1887062187276626
69e4426b000000001d01c7ed,1,264,1399,0.1887062187276626
69e4426b000000001d01c7ed,2,441,1399,0.3152251608291637
69e4426b000000001d01c7ed,3,77,1399,0.055039313795568263
69e4426b000000001d01c7ed,4,40,1399,0.028591851322373123
69e4426b000000001d01c7ed,5,27,1399,0.01929949964260186
69e4426b000000001d01c7ed,6,60,1399,0.04288777698355969
69e4426b000000001d01c7ed,7,8,1399,0.005718370264474625
69e4426b000000001d01c7ed,8,197,1399,0.14081486776268765
69e4426b000000001d01c7ed,9,21,1399,0.01501072194424589
69e44278000000001a0217bb,0,68,230,0.2956521739130435
69e44278000000001a0217bb,1,17,230,0.07391304347826087
69e44278000000001a0217bb,2,45,230,0.1956521739130435
69e44278000000001a0217bb,3,26,230,0.11304347826086956
69e44278000000001a0217bb,4,22,230,0.09565217391304348
69e44278000000001a0217bb,5,2,230,0.008695652173913044
69e44278000000001a0217bb,6,15,230,0.06521739130434782
69e44278000000001a0217bb,7,24,230,0.10434782608695652
69e44278000000001a0217bb,8,5,230,0.021739130434782608
69e44278000000001a0217bb,9,6,230,0.02608695652173913
69e44f3a000000002301079c,2,4,5,0.8
69e44f3a000000002301079c,8,1,5,0.2
69e44fbf000000001e00cc6a,3,6,8,0.75
69e44fbf000000001e00cc6a,9,2,8,0.25
69e4551e000000001f005895,0,34,254,0.13385826771653545
69e4551e000000001f005895,1,29,254,0.1141732283464567
69e4551e000000001f005895,2,49,254,0.19291338582677164
69e4551e000000001f005895,3,49,254,0.19291338582677164
69e4551e000000001f005895,4,31,254,0.1220472440944882
69e4551e000000001f005895,5,15,254,0.05905511811023622
69e4551e000000001f005895,6,8,254,0.031496062992125984
69e4551e000000001f005895,7,22,254,0.08661417322834646
69e4551e000000001f005895,8,8,254,0.031496062992125984
69e4551e000000001f005895,9,9,254,0.03543307086614173
69e47f8f000000001f007203,0,576,2138,0.2694106641721235
69e47f8f000000001f007203,1,281,2138,0.1314312441534144
69e47f8f000000001f007203,2,458,2138,0.21421889616463985
69e47f8f000000001f007203,3,184,2138,0.08606173994387278
69e47f8f000000001f007203,4,222,2138,0.1038353601496726
69e47f8f000000001f007203,5,38,2138,0.01777362020579981
69e47f8f000000001f007203,6,38,2138,0.01777362020579981
69e47f8f000000001f007203,7,54,2138,0.025257249766136577
69e47f8f000000001f007203,8,226,2138,0.10570626753975679
69e47f8f000000001f007203,9,61,2138,0.02853133769878391
69e481e8000000002003ad94,0,1620,7512,0.21565495207667731
69e481e8000000002003ad94,1,500,7512,0.06656017039403621
69e481e8000000002003ad94,2,349,7512,0.04645899893503727
69e481e8000000002003ad94,3,714,7512,0.0950479233226837
69e481e8000000002003ad94,4,734,7512,0.09771033013844516
69e481e8000000002003ad94,5,1467,7512,0.19528753993610223
69e481e8000000002003ad94,6,1100,7512,0.14643237486687966
69e481e8000000002003ad94,7,428,7512,0.056975505857294995
69e481e8000000002003ad94,8,32,7512,0.004259850905218318
69e481e8000000002003ad94,9,568,7512,0.07561235356762513
69e48d54000000002102e178,0,44,303,0.14521452145214522
69e48d54000000002102e178,1,34,303,0.11221122112211221
69e48d54000000002102e178,2,107,303,0.35313531353135313
69e48d54000000002102e178,3,29,303,0.09570957095709572
69e48d54000000002102e178,4,28,303,0.0924092409240924
69e48d54000000002102e178,5,6,303,0.019801980198019802
69e48d54000000002102e178,6,2,303,0.006600660066006601
69e48d54000000002102e178,7,13,303,0.0429042904290429
69e48d54000000002102e178,8,38,303,0.1254125412541254
69e48d54000000002102e178,9,2,303,0.006600660066006601
69e5a09a000000002103ba03,0,7,36,0.19444444444444445
69e5a09a000000002103ba03,1,5,36,0.1388888888888889
69e5a09a000000002103ba03,2,6,36,0.16666666666666666
69e5a09a000000002103ba03,3,7,36,0.19444444444444445
69e5a09a000000002103ba03,4,3,36,0.08333333333333333
69e5a09a000000002103ba03,7,3,36,0.08333333333333333
69e5a09a000000002103ba03,9,5,36,0.1388888888888889
69e6f2bc0000000023005345,0,21,246,0.08536585365853659
69e6f2bc0000000023005345,1,37,246,0.15040650406504066
69e6f2bc0000000023005345,2,32,246,0.13008130081300814
69e6f2bc0000000023005345,3,34,246,0.13821138211382114
69e6f2bc0000000023005345,4,26,246,0.10569105691056911
69e6f2bc0000000023005345,5,4,246,0.016260162601626018
69e6f2bc0000000023005345,6,1,246,0.0040650406504065045
69e6f2bc0000000023005345,8,81,246,0.32926829268292684
69e6f2bc0000000023005345,9,10,246,0.04065040650406504
