post_category,topic,mean_share_post_averaged,n_posts_in_category
中性|观众,0,0.1937097927090779,1
中性|观众,1,0.1908506075768406,1
中性|观众,2,0.4982130092923517,1
中性|观众,3,0.035739814152966405,1
中性|观众,4,0.04431736954967834,1
中性|观众,5,0.01929949964260186,1
中性|观众,6,0.017869907076483203,1
中性|评价者,0,0.20669934640522875,2
中性|评价者,1,0.2785947712418301,2
中性|评价者,2,0.2230392156862745,2
中性|评价者,3,0.09150326797385622,2
中性|评价者,4,0.0,2
中性|评价者,5,0.014705882352941176,2
中性|评价者,6,0.1854575163398693,2
失败|抢救者,0,0.3406331371398292,2
失败|抢救者,1,0.20816975961072778,2
失败|抢救者,2,0.25059684229119067,2
失败|抢救者,3,0.1409274273960583,2
失败|抢救者,4,0.025078771786880297,2
失败|抢救者,5,0.013995168283886113,2
失败|抢救者,6,0.020598893491427694,2
失败|观众,0,0.19480519480519481,1
失败|观众,1,0.4155844155844156,1
失败|观众,2,0.16883116883116883,1
失败|观众,3,0.05194805194805195,1
失败|观众,4,0.0,1
失败|观众,5,0.12987012987012986,1
失败|观众,6,0.03896103896103896,1
弱势|同伴,0,0.14521452145214522,1
弱势|同伴,1,0.1551155115511551,1
弱势|同伴,2,0.47854785478547857,1
弱势|同伴,3,0.1485148514851485,1
弱势|同伴,4,0.0165016501650165,1
弱势|同伴,5,0.019801980198019802,1
弱势|同伴,6,0.036303630363036306,1
弱势|观众,0,0.11372993537627685,2
弱势|观众,1,0.30956848030018763,2
弱势|观众,2,0.4038200958932666,2
弱势|观众,3,0.09836877214925996,2
弱势|观众,4,0.029171878257244113,2
弱势|观众,5,0.01721127788200959,2
弱势|观众,6,0.028129560141755265,2
弱势|评价者,0,0.0,1
弱势|评价者,1,0.0,1
弱势|评价者,2,1.0,1
弱势|评价者,3,0.0,1
弱势|评价者,4,0.0,1
弱势|评价者,5,0.0,1
弱势|评价者,6,0.0,1
强势|服务者,0,0.22803514376996806,1
强势|服务者,1,0.12526624068157616,1
强势|服务者,2,0.04459531416400426,1
强势|服务者,3,0.1253993610223642,1
强势|服务者,4,0.18876464323748668,1
强势|服务者,5,0.19528753993610223,1
强势|服务者,6,0.0926517571884984,1
成功|服务者,0,0.0,1
成功|服务者,1,0.25,1
成功|服务者,2,0.0,1
成功|服务者,3,0.0,1
成功|服务者,4,0.125,1
成功|服务者,5,0.0,1
成功|服务者,6,0.625,1
成功|被超越者,0,0.22345087298870253,2
成功|被超越者,1,0.22298870249914415,2
成功|被超越者,2,0.22463197535090723,2
成功|被超越者,3,0.16146867511126328,2
成功|被超越者,4,0.0969188634029442,2
成功|被超越者,5,0.03387538514207463,2
成功|被超越者,6,0.036665525504964054,2
成功|观众,0,0.2249939452651974,1
成功|观众,1,0.29983046742552677,1
成功|观众,2,0.11286025672075563,1
成功|观众,3,0.16638411237587794,1
成功|观众,4,0.14943085492855412,1
成功|观众,5,0.02494550738677646,1
成功|观众,6,0.0215548558973117,1
