robot_status,topic,mean_share_post_averaged,n_posts_in_status
,0,0.27502338634237605,1
,1,0.18521983161833488,1
,2,0.31898971000935455,1
,3,0.12488306828811974,1
,4,0.03695042095416277,1
,5,0.01777362020579981,1
,6,0.0411599625818522,1
中性,0,0.20236949517317848,3
中性,1,0.24934671668683359,3
中性,2,0.3147638135549669,3
中性,3,0.0729154500335596,3
中性,4,0.014772456516559446,3
中性,5,0.016237088116161404,3
中性,6,0.12959497991874058,3
失败,0,0.2920238230282844,3
失败,1,0.2773079782686237,3
失败,2,0.22334161780451675,3
失败,3,0.11126763558005619,3
失败,4,0.01671918119125353,3
失败,5,0.05262015547930069,3
失败,6,0.02671960864796478,3
弱势,0,0.09316859805117474,4
弱势,1,0.19356311803788262,4
弱势,2,0.571547011643003,4
弱势,3,0.0863130989459171,4
弱势,4,0.01871135166987618,4
弱势,5,0.013556133990509745,4
弱势,6,0.02314068766163671,4
强势,0,0.22803514376996806,1
强势,1,0.12526624068157616,1
强势,2,0.04459531416400426,1
强势,3,0.1253993610223642,1
强势,4,0.18876464323748668,1
强势,5,0.19528753993610223,1
强势,6,0.0926517571884984,1
成功,0,0.1679739228106506,4
成功,1,0.24895196810595377,4
成功,2,0.14053105185564252,4
成功,3,0.12233036564960112,4
成功,4,0.11706714543361063,4
成功,5,0.02317406941773143,4
成功,6,0.17997147672680996,4
