帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,549,4129,0.13296197626543957
69da7e87000000001a03484e,1,276,4129,0.06684427222087673
69da7e87000000001a03484e,2,397,4129,0.09614918866553646
69da7e87000000001a03484e,3,426,4129,0.1031726810365706
69da7e87000000001a03484e,4,233,4129,0.056430128360377814
69da7e87000000001a03484e,5,336,4129,0.08137563574715427
69da7e87000000001a03484e,6,612,4129,0.148219907968031
69da7e87000000001a03484e,7,486,4129,0.11770404456284815
69da7e87000000001a03484e,8,391,4129,0.09469605231290869
69da7e87000000001a03484e,9,423,4129,0.10244611286025672
69db34bb000000001a0348ae,0,33,293,0.11262798634812286
69db34bb000000001a0348ae,1,19,293,0.06484641638225255
69db34bb000000001a0348ae,2,19,293,0.06484641638225255
69db34bb000000001a0348ae,3,22,293,0.07508532423208192
69db34bb000000001a0348ae,4,7,293,0.023890784982935155
69db34bb000000001a0348ae,5,32,293,0.10921501706484642
69db34bb000000001a0348ae,6,30,293,0.10238907849829351
69db34bb000000001a0348ae,7,74,293,0.2525597269624573
69db34bb000000001a0348ae,8,39,293,0.13310580204778158
69db34bb000000001a0348ae,9,18,293,0.06143344709897611
69e2583b00000000230211ea,0,218,1198,0.18196994991652754
69e2583b00000000230211ea,1,59,1198,0.049248747913188645
69e2583b00000000230211ea,2,126,1198,0.10517529215358931
69e2583b00000000230211ea,3,101,1198,0.08430717863105175
69e2583b00000000230211ea,4,78,1198,0.0651085141903172
69e2583b00000000230211ea,5,93,1198,0.07762938230383973
69e2583b00000000230211ea,6,97,1198,0.08096828046744574
69e2583b00000000230211ea,7,187,1198,0.15609348914858096
69e2583b00000000230211ea,8,105,1198,0.08764607679465776
69e2583b00000000230211ea,9,134,1198,0.11185308848080133
69e41e24000000001a025f1a,0,10,77,0.12987012987012986
69e41e24000000001a025f1a,1,5,77,0.06493506493506493
69e41e24000000001a025f1a,2,9,77,0.11688311688311688
69e41e24000000001a025f1a,3,6,77,0.07792207792207792
69e41e24000000001a025f1a,4,17,77,0.22077922077922077
69e41e24000000001a025f1a,5,6,77,0.07792207792207792
69e41e24000000001a025f1a,6,8,77,0.1038961038961039
69e41e24000000001a025f1a,7,3,77,0.03896103896103896
69e41e24000000001a025f1a,8,8,77,0.1038961038961039
69e41e24000000001a025f1a,9,5,77,0.06493506493506493
69e42cc100000000220001ad,0,106,936,0.11324786324786325
69e42cc100000000220001ad,1,32,936,0.03418803418803419
69e42cc100000000220001ad,2,96,936,0.10256410256410256
69e42cc100000000220001ad,3,291,936,0.3108974358974359
69e42cc100000000220001ad,4,43,936,0.045940170940170943
69e42cc100000000220001ad,5,55,936,0.05876068376068376
69e42cc100000000220001ad,6,79,936,0.08440170940170941
69e42cc100000000220001ad,7,90,936,0.09615384615384616
69e42cc100000000220001ad,8,88,936,0.09401709401709402
69e42cc100000000220001ad,9,56,936,0.05982905982905983
69e43a5a000000001d01dcc7,0,4,68,0.058823529411764705
69e43a5a000000001d01dcc7,1,13,68,0.19117647058823528
69e43a5a000000001d01dcc7,2,10,68,0.14705882352941177
69e43a5a000000001d01dcc7,3,6,68,0.08823529411764706
69e43a5a000000001d01dcc7,4,3,68,0.04411764705882353
69e43a5a000000001d01dcc7,5,2,68,0.029411764705882353
69e43a5a000000001d01dcc7,6,9,68,0.1323529411764706
69e43a5a000000001d01dcc7,7,7,68,0.10294117647058823
69e43a5a000000001d01dcc7,8,8,68,0.11764705882352941
69e43a5a000000001d01dcc7,9,6,68,0.08823529411764706
69e4426b000000001d01c7ed,0,167,1399,0.11937097927090778
69e4426b000000001d01c7ed,1,83,1399,0.059328091493924234
69e4426b000000001d01c7ed,2,150,1399,0.10721944245889921
69e4426b000000001d01c7ed,3,439,1399,0.31379556826304505
69e4426b000000001d01c7ed,4,70,1399,0.05003573981415296
69e4426b000000001d01c7ed,5,107,1399,0.0764832022873481
69e4426b000000001d01c7ed,6,104,1399,0.07433881343817011
69e4426b000000001d01c7ed,7,116,1399,0.08291636883488206
69e4426b000000001d01c7ed,8,84,1399,0.06004288777698356
