post_category,topic,mean_share_post_averaged,n_posts_in_category
中性|观众,0,0.1451036454610436,1
中性|观众,1,0.07290922087205147,1
中性|观众,2,0.12866333095067906,1
中性|观众,3,0.3766976411722659,1
中性|观众,4,0.07147962830593281,1
中性|观众,5,0.10007147962830593,1
中性|观众,6,0.10507505360972123,1
中性|评价者,0,0.10702614379084967,2
中性|评价者,1,0.09885620915032681,2
中性|评价者,2,0.21486928104575165,2
中性|评价者,3,0.08006535947712418,2
中性|评价者,4,0.21977124183006536,2
中性|评价者,5,0.1062091503267974,2
中性|评价者,6,0.17320261437908496,2
失败|抢救者,0,0.1971402850028774,2
失败|抢救者,1,0.11420627097494687,2
失败|抢救者,2,0.12886095711282172,2
失败|抢救者,3,0.10499723657745845,2
失败|抢救者,4,0.08466756311714063,2
失败|抢救者,5,0.1595036095426393,2
失败|抢救者,6,0.21062407767211563,2
失败|观众,0,0.19480519480519481,1
失败|观众,1,0.09090909090909091,1
失败|观众,2,0.14285714285714285,1
失败|观众,3,0.06493506493506493,1
失败|观众,4,0.15584415584415584,1
失败|观众,5,0.22077922077922077,1
失败|观众,6,0.12987012987012986,1
弱势|同伴,0,0.14521452145214522,1
弱势|同伴,1,0.0594059405940594,1
弱势|同伴,2,0.132013201320132,1
弱势|同伴,3,0.2838283828382838,1
弱势|同伴,4,0.07590759075907591,1
弱势|同伴,5,0.1353135313531353,1
弱势|同伴,6,0.16831683168316833,1
弱势|观众,0,0.1180034396497811,2
弱势|观众,1,0.09225818219720658,2
弱势|观众,2,0.14998957681884512,2
弱势|观众,3,0.41909005628517826,2
弱势|观众,4,0.053992078382322284,2
弱势|观众,5,0.08381540546174693,2
弱势|观众,6,0.08285126120491974,2
弱势|评价者,0,0.0,1
弱势|评价者,1,0.2,1
弱势|评价者,2,0.4,1
弱势|评价者,3,0.4,1
弱势|评价者,4,0.0,1
弱势|评价者,5,0.0,1
弱势|评价者,6,0.0,1
强势|服务者,0,0.16067625133120342,1
强势|服务者,1,0.20580404685835996,1
强势|服务者,2,0.09132055378061768,1
强势|服务者,3,0.07294994675186368,1
强势|服务者,4,0.21938232161874335,1
强势|服务者,5,0.12766240681576144,1
强势|服务者,6,0.12220447284345048,1
成功|服务者,0,0.125,1
成功|服务者,1,0.0,1
成功|服务者,2,0.25,1
成功|服务者,3,0.0,1
成功|服务者,4,0.625,1
成功|服务者,5,0.0,1
成功|服务者,6,0.0,1
成功|被超越者,0,0.15183156453269428,2
成功|被超越者,1,0.09174940089010614,2
成功|被超越者,2,0.1297672030126669,2
成功|被超越者,3,0.15979116740842175,2
成功|被超越者,4,0.11496062992125984,2
成功|被超越者,5,0.1659020883259158,2
成功|被超越者,6,0.1859979459089353,2
成功|观众,0,0.18043109711794622,1
成功|观众,1,0.13829014289174135,1
成功|观众,2,0.11552434003390652,1
成功|观众,3,0.12811818842334705,1
成功|观众,4,0.07096149188665536,1
成功|观众,5,0.14337612012593848,1
成功|观众,6,0.223298619520465,1
