帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,829,4129,0.2007750060547348
69da7e87000000001a03484e,1,346,4129,0.08379752966820053
69da7e87000000001a03484e,2,164,4129,0.039719060305158635
69da7e87000000001a03484e,3,105,4129,0.02542988617098571
69da7e87000000001a03484e,4,428,4129,0.10365705982077986
69da7e87000000001a03484e,5,178,4129,0.0431097117946234
69da7e87000000001a03484e,6,580,4129,0.14046984742068297
69da7e87000000001a03484e,7,886,4129,0.21457980140469848
69da7e87000000001a03484e,8,200,4129,0.048437878420925166
69da7e87000000001a03484e,9,413,4129,0.10002421893921046
69db34bb000000001a0348ae,0,131,293,0.447098976109215
69db34bb000000001a0348ae,1,31,293,0.10580204778156997
69db34bb000000001a0348ae,2,21,293,0.07167235494880546
69db34bb000000001a0348ae,3,3,293,0.010238907849829351
69db34bb000000001a0348ae,4,16,293,0.05460750853242321
69db34bb000000001a0348ae,5,8,293,0.027303754266211604
69db34bb000000001a0348ae,6,17,293,0.05802047781569966
69db34bb000000001a0348ae,7,35,293,0.11945392491467577
69db34bb000000001a0348ae,8,6,293,0.020477815699658702
69db34bb000000001a0348ae,9,25,293,0.08532423208191127
69e2583b00000000230211ea,0,267,1198,0.22287145242070117
69e2583b00000000230211ea,1,122,1198,0.1018363939899833
69e2583b00000000230211ea,2,49,1198,0.040901502504173626
69e2583b00000000230211ea,3,44,1198,0.03672787979966611
69e2583b00000000230211ea,4,88,1198,0.07345575959933222
69e2583b00000000230211ea,5,60,1198,0.05008347245409015
69e2583b00000000230211ea,6,94,1198,0.07846410684474124
69e2583b00000000230211ea,7,256,1198,0.21368948247078465
69e2583b00000000230211ea,8,64,1198,0.05342237061769616
69e2583b00000000230211ea,9,154,1198,0.1285475792988314
69e41e24000000001a025f1a,0,14,77,0.18181818181818182
69e41e24000000001a025f1a,1,9,77,0.11688311688311688
69e41e24000000001a025f1a,2,4,77,0.05194805194805195
69e41e24000000001a025f1a,3,2,77,0.025974025974025976
69e41e24000000001a025f1a,4,4,77,0.05194805194805195
69e41e24000000001a025f1a,5,13,77,0.16883116883116883
69e41e24000000001a025f1a,6,8,77,0.1038961038961039
69e41e24000000001a025f1a,7,11,77,0.14285714285714285
69e41e24000000001a025f1a,8,2,77,0.025974025974025976
69e41e24000000001a025f1a,9,10,77,0.12987012987012986
69e42cc100000000220001ad,0,117,936,0.125
69e42cc100000000220001ad,1,54,936,0.057692307692307696
69e42cc100000000220001ad,2,285,936,0.30448717948717946
69e42cc100000000220001ad,3,13,936,0.013888888888888888
69e42cc100000000220001ad,4,81,936,0.08653846153846154
69e42cc100000000220001ad,5,30,936,0.03205128205128205
69e42cc100000000220001ad,6,75,936,0.08012820512820513
69e42cc100000000220001ad,7,149,936,0.15918803418803418
69e42cc100000000220001ad,8,60,936,0.0641025641025641
69e42cc100000000220001ad,9,72,936,0.07692307692307693
69e43a5a000000001d01dcc7,0,15,68,0.22058823529411764
69e43a5a000000001d01dcc7,1,3,68,0.04411764705882353
69e43a5a000000001d01dcc7,2,7,68,0.10294117647058823
69e43a5a000000001d01dcc7,3,14,68,0.20588235294117646
69e43a5a000000001d01dcc7,4,4,68,0.058823529411764705
69e43a5a000000001d01dcc7,5,1,68,0.014705882352941176
69e43a5a000000001d01dcc7,6,8,68,0.11764705882352941
69e43a5a000000001d01dcc7,7,6,68,0.08823529411764706
69e43a5a000000001d01dcc7,8,6,68,0.08823529411764706
69e43a5a000000001d01dcc7,9,4,68,0.058823529411764705
69e4426b000000001d01c7ed,0,207,1399,0.14796283059328091
69e4426b000000001d01c7ed,1,79,1399,0.056468906361686916
69e4426b000000001d01c7ed,2,405,1399,0.2894924946390279
69e4426b000000001d01c7ed,3,39,1399,0.027877055039313797
69e4426b000000001d01c7ed,4,122,1399,0.08720514653323802
69e4426b000000001d01c7ed,5,39,1399,0.027877055039313797
69e4426b000000001d01c7ed,6,111,1399,0.07934238741958542
69e4426b000000001d01c7ed,7,233,1399,0.16654753395282346
69e4426b000000001d01c7ed,8,80,1399,0.057183702644746245
69e4426b000000001d01c7ed,9,84,1399,0.06004288777698356
69e44278000000001a0217bb,0,59,230,0.2565217391304348
69e44278000000001a0217bb,1,31,230,0.13478260869565217
69e44278000000001a0217bb,2,13,230,0.05652173913043478
69e44278000000001a0217bb,3,7,230,0.030434782608695653
69e44278000000001a0217bb,4,17,230,0.07391304347826087
69e44278000000001a0217bb,5,7,230,0.030434782608695653
69e44278000000001a0217bb,6,35,230,0.15217391304347827
69e44278000000001a0217bb,7,34,230,0.14782608695652175
69e44278000000001a0217bb,8,6,230,0.02608695652173913
69e44278000000001a0217bb,9,21,230,0.09130434782608696
69e44f3a000000002301079c,2,3,5,0.6
69e44f3a000000002301079c,5,1,5,0.2
69e44f3a000000002301079c,9,1,5,0.2
69e44fbf000000001e00cc6a,7,1,8,0.125
69e44fbf000000001e00cc6a,8,7,8,0.875
69e4551e000000001f005895,0,35,254,0.1377952755905512
69e4551e000000001f005895,1,17,254,0.06692913385826772
69e4551e000000001f005895,2,14,254,0.05511811023622047
69e4551e000000001f005895,3,21,254,0.08267716535433071
69e4551e000000001f005895,4,31,254,0.1220472440944882
69e4551e000000001f005895,5,21,254,0.08267716535433071
69e4551e000000001f005895,6,39,254,0.15354330708661418
69e4551e000000001f005895,7,34,254,0.13385826771653545
69e4551e000000001f005895,8,11,254,0.04330708661417323
69e4551e000000001f005895,9,31,254,0.1220472440944882
69e47f8f000000001f007203,0,461,2138,0.215622076707203
69e47f8f000000001f007203,1,175,2138,0.08185219831618334
69e47f8f000000001f007203,2,368,2138,0.17212347988774557
69e47f8f000000001f007203,3,76,2138,0.03554724041159962
69e47f8f000000001f007203,4,192,2138,0.08980355472404115
69e47f8f000000001f007203,5,51,2138,0.023854069223573433
69e47f8f000000001f007203,6,188,2138,0.08793264733395698
69e47f8f000000001f007203,7,321,2138,0.15014031805425632
69e47f8f000000001f007203,8,138,2138,0.06454630495790459
69e47f8f000000001f007203,9,168,2138,0.07857811038353602
69e481e8000000002003ad94,0,1162,7512,0.15468583599574015
69e481e8000000002003ad94,1,760,7512,0.10117145899893504
69e481e8000000002003ad94,2,131,7512,0.017438764643237487
69e481e8000000002003ad94,3,418,7512,0.05564430244941427
69e481e8000000002003ad94,4,358,7512,0.047657082002129925
69e481e8000000002003ad94,5,1263,7512,0.16813099041533547
69e481e8000000002003ad94,6,478,7512,0.06363152289669861
69e481e8000000002003ad94,7,1660,7512,0.22097976570820022
69e481e8000000002003ad94,8,604,7512,0.08040468583599573
69e481e8000000002003ad94,9,678,7512,0.0902555910543131
69e48d54000000002102e178,0,54,303,0.1782178217821782
69e48d54000000002102e178,1,17,303,0.056105610561056105
69e48d54000000002102e178,2,53,303,0.17491749174917492
69e48d54000000002102e178,3,11,303,0.036303630363036306
69e48d54000000002102e178,4,45,303,0.1485148514851485
69e48d54000000002102e178,5,6,303,0.019801980198019802
69e48d54000000002102e178,6,28,303,0.0924092409240924
69e48d54000000002102e178,7,39,303,0.12871287128712872
69e48d54000000002102e178,8,28,303,0.0924092409240924
69e48d54000000002102e178,9,22,303,0.07260726072607261
69e5a09a000000002103ba03,0,4,36,0.1111111111111111
69e5a09a000000002103ba03,1,3,36,0.08333333333333333
69e5a09a000000002103ba03,2,1,36,0.027777777777777776
69e5a09a000000002103ba03,3,5,36,0.1388888888888889
69e5a09a000000002103ba03,4,2,36,0.05555555555555555
69e5a09a000000002103ba03,5,1,36,0.027777777777777776
69e5a09a000000002103ba03,6,1,36,0.027777777777777776
69e5a09a000000002103ba03,7,12,36,0.3333333333333333
69e5a09a000000002103ba03,8,4,36,0.1111111111111111
69e5a09a000000002103ba03,9,3,36,0.08333333333333333
69e6f2bc0000000023005345,0,25,246,0.1016260162601626
69e6f2bc0000000023005345,1,8,246,0.032520325203252036
69e6f2bc0000000023005345,2,95,246,0.3861788617886179
69e6f2bc0000000023005345,3,9,246,0.036585365853658534
69e6f2bc0000000023005345,4,23,246,0.09349593495934959
69e6f2bc0000000023005345,5,6,246,0.024390243902439025
69e6f2bc0000000023005345,6,24,246,0.0975609756097561
69e6f2bc0000000023005345,7,31,246,0.12601626016260162
69e6f2bc0000000023005345,8,14,246,0.056910569105691054
69e6f2bc0000000023005345,9,11,246,0.044715447154471545
