post_category,topic,mean_share_post_averaged,n_posts_in_category
中性|观众,0,0.12794853466761974,1
中性|观众,1,0.04145818441744103,1
中性|观众,2,0.19442458899213724,1
中性|观众,3,0.02501786990707648,1
中性|观众,4,0.032880629020729094,1
中性|观众,5,0.021443888491779844,1
中性|观众,6,0.04503216583273767,1
中性|观众,7,0.07862759113652609,1
中性|观众,8,0.04646175839885633,1
中性|观众,9,0.030736240171551108,1
中性|观众,10,0.28806290207290924,1
中性|观众,11,0.06790564689063616,1
中性|评价者,0,0.1372549019607843,2
中性|评价者,1,0.027777777777777776,2
中性|评价者,2,0.05065359477124183,2
中性|评价者,3,0.1650326797385621,2
中性|评价者,4,0.028594771241830064,2
中性|评价者,5,0.007352941176470588,2
中性|评价者,6,0.05718954248366013,2
中性|评价者,7,0.042483660130718956,2
中性|评价者,8,0.08496732026143791,2
中性|评价者,9,0.035130718954248366,2
中性|评价者,10,0.28431372549019607,2
中性|评价者,11,0.07924836601307189,2
失败|抢救者,0,0.2969411476465326,2
失败|抢救者,1,0.055229990826576716,2
失败|抢救者,2,0.022453520372406797,2
失败|抢救者,3,0.01635119966724974,2
失败|抢救者,4,0.01983824007019663,2
失败|抢救者,5,0.027842194328431345,2
失败|抢救者,6,0.03698712871851265,2
失败|抢救者,7,0.08315622738694184,2
失败|抢救者,8,0.02560724073683671,2
失败|抢救者,9,0.04434153623502197,2
失败|抢救者,10,0.3178391745058602,2
失败|抢救者,11,0.053412399505432834,2
失败|观众,0,0.12987012987012986,1
失败|观众,1,0.09090909090909091,1
失败|观众,2,0.03896103896103896,1
失败|观众,3,0.012987012987012988,1
失败|观众,4,0.012987012987012988,1
失败|观众,5,0.14285714285714285,1
失败|观众,6,0.06493506493506493,1
失败|观众,7,0.07792207792207792,1
失败|观众,8,0.025974025974025976,1
失败|观众,9,0.05194805194805195,1
失败|观众,10,0.2727272727272727,1
失败|观众,11,0.07792207792207792,1
弱势|同伴,0,0.1617161716171617,1
弱势|同伴,1,0.0297029702970297,1
弱势|同伴,2,0.10561056105610561,1
弱势|同伴,3,0.0231023102310231,1
弱势|同伴,4,0.0858085808580858,1
弱势|同伴,5,0.013201320132013201,1
弱势|同伴,6,0.0231023102310231,1
弱势|同伴,7,0.0462046204620462,1
弱势|同伴,8,0.07590759075907591,1
弱势|同伴,9,0.036303630363036306,1
弱势|同伴,10,0.3432343234323432,1
弱势|同伴,11,0.056105610561056105,1
弱势|观众,0,0.09780852616218469,2
弱势|观众,1,0.029927558890973524,2
弱势|观众,2,0.30641546800083386,2
弱势|观众,3,0.023100375234521575,2
弱势|观众,4,0.04415520116739629,2
弱势|观众,5,0.019348030018761727,2
弱势|观众,6,0.06253908692933083,2
弱势|观众,7,0.050982384823848245,2
弱势|观众,8,0.04939284969772775,2
弱势|观众,9,0.030136022514071298,2
弱势|观众,10,0.1923207212841359,2
弱势|观众,11,0.0938737752762143,2
弱势|评价者,0,0.0,1
弱势|评价者,1,0.0,1
弱势|评价者,2,0.4,1
弱势|评价者,3,0.0,1
弱势|评价者,4,0.0,1
弱势|评价者,5,0.2,1
弱势|评价者,6,0.0,1
弱势|评价者,7,0.0,1
弱势|评价者,8,0.0,1
弱势|评价者,9,0.2,1
弱势|评价者,10,0.2,1
弱势|评价者,11,0.0,1
强势|服务者,0,0.13684771033013846,1
强势|服务者,1,0.08386581469648563,1
强势|服务者,2,0.007987220447284345,1
强势|服务者,3,0.05324813631522897,1
强势|服务者,4,0.029020234291799788,1
强势|服务者,5,0.1592119275825346,1
强势|服务者,6,0.041932907348242815,1
强势|服务者,7,0.12060702875399361,1
强势|服务者,8,0.07454739084132056,1
强势|服务者,9,0.056975505857294995,1
强势|服务者,10,0.16586794462193824,1
强势|服务者,11,0.06988817891373802,1
成功|服务者,0,0.0,1
成功|服务者,1,0.0,1
成功|服务者,2,0.0,1
成功|服务者,3,0.0,1
成功|服务者,4,0.0,1
成功|服务者,5,0.0,1
成功|服务者,6,0.0,1
成功|服务者,7,0.125,1
成功|服务者,8,0.75,1
成功|服务者,9,0.0,1
成功|服务者,10,0.0,1
成功|服务者,11,0.125,1
成功|被超越者,0,0.17209859637110578,2
成功|被超越者,1,0.07226977062649778,2
成功|被超越者,2,0.0313762410133516,2
成功|被超越者,3,0.038634029441971925,2
成功|被超越者,4,0.07394727832933927,2
成功|被超越者,5,0.046302636083533036,2
成功|被超越者,6,0.0562307428962684,2
成功|被超越者,7,0.05032523108524478,2
成功|被超越者,8,0.02858610065046217,2
成功|被超越者,9,0.0469188634029442,2
成功|被超越者,10,0.31350564875042797,2
成功|被超越者,11,0.06980486134885314,2
成功|观众,0,0.17268103657059822,1
成功|观众,1,0.06200048437878421,1
成功|观众,2,0.01961734076047469,1
成功|观众,3,0.020101719544683944,1
成功|观众,4,0.05836764349721482,1
成功|观众,5,0.03293775732622911,1
成功|观众,6,0.05570356018406394,1
成功|观众,7,0.10486800678130298,1
成功|观众,8,0.04141438604989101,1
成功|观众,9,0.05497699200775006,1
成功|观众,10,0.2857834826834585,1
成功|观众,11,0.09154759021554856,1
