robot_status,topic,mean_share_post_averaged,n_posts_in_status
,0,0.18849391955098221,1
,1,0.05846585594013096,1
,2,0.12909260991580918,1
,3,0.0304022450888681,1
,4,0.050514499532273154,1
,5,0.019176800748362956,1
,6,0.04957904583723106,1
,7,0.05753040224508887,1
,8,0.05472404115996258,1
,9,0.039756782039289056,1
,10,0.2539756782039289,1
,11,0.06828811973807297,1
中性,0,0.13415277952972945,3
中性,1,0.032337913324332196,3
中性,2,0.0985772595115403,3
中性,3,0.11836107646140022,3
中性,4,0.030023390501463076,3
中性,5,0.012049923614907006,3
中性,6,0.05313708360001931,3
中性,7,0.054531637132654666,3
中性,8,0.0721321329739107,3
中性,9,0.03366589269334928,3
中性,10,0.28556345101776714,3
中性,11,0.07546745963892665,3
失败,0,0.2412508083877317,3
失败,1,0.06712302418741478,3
失败,2,0.02795602656861752,3
失败,3,0.015229804107170822,3
失败,4,0.017554497709135416,3
失败,5,0.06618051050466851,3
失败,6,0.046303107457363414,3
失败,7,0.08141151089865387,3
失败,8,0.025729502482566464,3
失败,9,0.04687704147269863,3
失败,10,0.3028018739129977,3
失败,11,0.061582292310981196,3
弱势,0,0.08933330598538278,4
弱势,1,0.022389522019744187,4
弱势,2,0.27961037426444335,4
弱势,3,0.017325765175016564,4
弱势,4,0.043529745798219596,4
弱势,5,0.06297434504238417,4
弱势,6,0.03704512102242119,4
弱势,7,0.037042347527435675,4
弱势,8,0.043673322538632854,4
弱势,9,0.07414391884779473,4
弱势,10,0.2319689415001538,4
弱势,11,0.06096329027837118,4
强势,0,0.13684771033013846,1
强势,1,0.08386581469648563,1
强势,2,0.007987220447284345,1
强势,3,0.05324813631522897,1
强势,4,0.029020234291799788,1
强势,5,0.1592119275825346,1
强势,6,0.041932907348242815,1
强势,7,0.12060702875399361,1
强势,8,0.07454739084132056,1
强势,9,0.056975505857294995,1
强势,10,0.16586794462193824,1
强势,11,0.06988817891373802,1
成功,0,0.12921955732820245,4
成功,1,0.05163500640794494,4
成功,2,0.02059245569679447,4
成功,3,0.024342444607156948,4
成功,4,0.05156555003897334,4
成功,5,0.031385757373323796,4
成功,6,0.04204126149415018,4
成功,7,0.08262961723794814,4
成功,8,0.21214664683770385,4
成功,9,0.03720367970340961,4
成功,10,0.2281986950460786,4
成功,11,0.0890393282283137,4
