excluded_post_id,robot_status,topic,delta_mean_share
69db34bb000000001a0348ae,失败,0,0.002489312533926147
69db34bb000000001a0348ae,失败,1,-0.003948326132056687
69db34bb000000001a0348ae,失败,2,0.0073933361693964
69db34bb000000001a0348ae,失败,3,-0.013962535552842464
69db34bb000000001a0348ae,失败,4,0.036763423084196625
69db34bb000000001a0348ae,失败,5,-0.047653252788945374
69db34bb000000001a0348ae,失败,6,0.018918042686325437
69e2583b00000000230211ea,失败,0,0.027710528781711152
69e2583b00000000230211ea,失败,1,-0.01049792244445448
69e2583b00000000230211ea,失败,2,-0.014033159639887563
69e2583b00000000230211ea,失败,3,0.011325629591567743
69e2583b00000000230211ea,失败,4,-0.010630697948012913
69e2583b00000000230211ea,失败,5,0.005904440066610242
69e2583b00000000230211ea,失败,6,-0.009778818407534057
69e41e24000000001a025f1a,失败,0,-0.0301998413156373
69e41e24000000001a025f1a,失败,1,0.014446248576511195
69e41e24000000001a025f1a,失败,2,0.006639823470491205
69e41e24000000001a025f1a,失败,3,0.0026369059612748047
69e41e24000000001a025f1a,失败,4,-0.02613272513618367
69e41e24000000001a025f1a,失败,5,0.041748812722335146
69e41e24000000001a025f1a,失败,6,-0.009139224278791352
