帖子id,topic,count,n_comments,share_within_cell
69db34bb000000001a0348ae,0,165,293,0.5631399317406144
69db34bb000000001a0348ae,1,26,293,0.08873720136518772
69db34bb000000001a0348ae,2,11,293,0.03754266211604096
69db34bb000000001a0348ae,3,36,293,0.12286689419795221
69db34bb000000001a0348ae,4,9,293,0.030716723549488054
69db34bb000000001a0348ae,5,30,293,0.10238907849829351
69db34bb000000001a0348ae,6,16,293,0.05460750853242321
69e2583b00000000230211ea,0,359,1198,0.2996661101836394
69e2583b00000000230211ea,1,116,1198,0.09682804674457429
69e2583b00000000230211ea,2,89,1198,0.07429048414023372
69e2583b00000000230211ea,3,271,1198,0.2262103505843072
69e2583b00000000230211ea,4,61,1198,0.05091819699499165
69e2583b00000000230211ea,5,211,1198,0.17612687813021702
69e2583b00000000230211ea,6,91,1198,0.07595993322203673
69e41e24000000001a025f1a,0,22,77,0.2857142857142857
69e41e24000000001a025f1a,1,5,77,0.06493506493506493
69e41e24000000001a025f1a,2,14,77,0.18181818181818182
69e41e24000000001a025f1a,3,18,77,0.23376623376623376
69e41e24000000001a025f1a,4,5,77,0.06493506493506493
69e41e24000000001a025f1a,5,8,77,0.1038961038961039
69e41e24000000001a025f1a,6,5,77,0.06493506493506493
