帖子id,topic,count,n_comments,share_within_cell
69e42cc100000000220001ad,0,277,555,0.4990990990990991
69e42cc100000000220001ad,1,171,555,0.3081081081081081
69e42cc100000000220001ad,2,107,555,0.1927927927927928
69e44f3a000000002301079c,0,4,4,1.0
69e48d54000000002102e178,0,113,177,0.6384180790960452
69e48d54000000002102e178,1,56,177,0.3163841807909605
69e48d54000000002102e178,2,8,177,0.04519774011299435
69e6f2bc0000000023005345,0,72,118,0.6101694915254238
69e6f2bc0000000023005345,1,33,118,0.2796610169491525
69e6f2bc0000000023005345,2,13,118,0.11016949152542373
