Topic,ctfidf_top_terms
0,"机器人,人类,机器,人形,轮子,ai,小机器人,肯定,机械,人形机器人,机器狗,形态,为什么,需要,统治"
1,"评论,真的,欣赏,ppt,意义,反复,别人,求生欲,感动,毕业论文,珍惜,视频,一下,非常,知道"
2,"鞋子,短腿,腿短,孩子,这小,太大,步伐,挺快,太短,小腿,倒腾,矫健,跑得慢,大人,跑步"
3,"可爱,小小的,真的,东西,红领巾,喜欢,安全帽,老人,卤蛋,小孩,豆包,马尾,可不,宝宝,多少钱"
4,"第一,倒数,摔倒,一步,最后,随时,一名,一秒,没电,绊倒,大湾,第一名,比赛,以为,完赛"
5,"孩子,参加,小朋友,幼儿园,未成年,马拉松,参赛,成人,儿童,大人,小孩,儿童组,几天,幼儿,看起来"
6,"奶瓶,喝奶,学校,奶嘴,手里,炸药包,吃奶,还拿个,手上,断奶,背着,老师,甚至,小鸟,早早"
7,"小派,小鼻嘎,感谢,可爱,关注,支持,持续,贺电,实力,这小鼻,发来,认可,亲友团,继续,小朋友"
8,"苍蝇,蟑螂,蚊子,老鼠,可爱,小小的,小时候,宝宝,一窝,幼虫,毛毛虫,楼主,北方,巨型,广东"
9,"鲁班,七号,王者,好像,一抓,皮肤,有点像,cos,峡谷,二爹,刺客,胞弟,一死,正好,250"
