帖子id,topic,count,n_comments,share_within_cell
69e42cc100000000220001ad,0,233,936,0.24893162393162394
69e42cc100000000220001ad,1,75,936,0.08012820512820513
69e42cc100000000220001ad,2,95,936,0.1014957264957265
69e42cc100000000220001ad,3,51,936,0.05448717948717949
69e42cc100000000220001ad,4,43,936,0.045940170940170943
69e42cc100000000220001ad,5,53,936,0.056623931623931624
69e42cc100000000220001ad,6,93,936,0.09935897435897435
69e42cc100000000220001ad,7,52,936,0.05555555555555555
69e42cc100000000220001ad,8,65,936,0.06944444444444445
69e42cc100000000220001ad,9,62,936,0.06623931623931624
69e42cc100000000220001ad,10,31,936,0.03311965811965812
69e42cc100000000220001ad,11,83,936,0.08867521367521368
69e44f3a000000002301079c,2,2,5,0.4
69e44f3a000000002301079c,4,1,5,0.2
69e44f3a000000002301079c,5,1,5,0.2
69e44f3a000000002301079c,9,1,5,0.2
69e48d54000000002102e178,0,103,303,0.33993399339933994
69e48d54000000002102e178,1,3,303,0.009900990099009901
69e48d54000000002102e178,2,27,303,0.0891089108910891
69e48d54000000002102e178,3,8,303,0.026402640264026403
69e48d54000000002102e178,4,16,303,0.052805280528052806
69e48d54000000002102e178,5,18,303,0.0594059405940594
69e48d54000000002102e178,6,38,303,0.1254125412541254
69e48d54000000002102e178,7,26,303,0.0858085808580858
69e48d54000000002102e178,8,16,303,0.052805280528052806
69e48d54000000002102e178,9,13,303,0.0429042904290429
69e48d54000000002102e178,10,16,303,0.052805280528052806
69e48d54000000002102e178,11,19,303,0.0627062706270627
69e6f2bc0000000023005345,0,71,246,0.2886178861788618
69e6f2bc0000000023005345,1,14,246,0.056910569105691054
69e6f2bc0000000023005345,2,29,246,0.11788617886178862
69e6f2bc0000000023005345,3,6,246,0.024390243902439025
69e6f2bc0000000023005345,4,9,246,0.036585365853658534
69e6f2bc0000000023005345,5,12,246,0.04878048780487805
69e6f2bc0000000023005345,6,21,246,0.08536585365853659
69e6f2bc0000000023005345,7,12,246,0.04878048780487805
69e6f2bc0000000023005345,8,12,246,0.04878048780487805
69e6f2bc0000000023005345,9,36,246,0.14634146341463414
69e6f2bc0000000023005345,10,8,246,0.032520325203252036
69e6f2bc0000000023005345,11,16,246,0.06504065040650407
