post_category,topic,mean_share_post_averaged,n_posts_in_category
弱势|同伴,0,0.17491749174917492,1
弱势|同伴,1,0.132013201320132,1
弱势|同伴,2,0.1617161716171617,1
弱势|同伴,3,0.033003300330033,1
弱势|同伴,4,0.0033003300330033004,1
弱势|同伴,5,0.1188118811881188,1
弱势|同伴,6,0.0297029702970297,1
弱势|同伴,7,0.0858085808580858,1
弱势|同伴,8,0.1188118811881188,1
弱势|同伴,9,0.033003300330033,1
弱势|同伴,10,0.026402640264026403,1
弱势|同伴,11,0.08250825082508251,1
弱势|观众,0,0.1817411924119241,2
弱势|观众,1,0.1035933917031478,2
弱势|观众,2,0.04682614133833646,2
弱势|观众,3,0.09632322284761309,2
弱势|观众,4,0.030357515113612676,2
弱势|观众,5,0.04887169063998332,2
弱势|观众,6,0.08509224515322077,2
弱势|观众,7,0.059216697936210136,2
弱势|观众,8,0.07580258494892642,2
弱势|观众,9,0.08960027100271004,2
弱势|观众,10,0.05749687304565353,2
弱势|观众,11,0.12507817385866166,2
弱势|评价者,0,0.0,1
弱势|评价者,1,0.0,1
弱势|评价者,2,0.0,1
弱势|评价者,3,0.2,1
弱势|评价者,4,0.0,1
弱势|评价者,5,0.2,1
弱势|评价者,6,0.4,1
弱势|评价者,7,0.0,1
弱势|评价者,8,0.0,1
弱势|评价者,9,0.0,1
弱势|评价者,10,0.2,1
弱势|评价者,11,0.0,1
