robot_status,topic,mean_share_post_averaged,n_posts_in_status
强势,0,0.2783189033189033,1
强势,1,0.270021645021645,1
强势,2,0.16017316017316016,1
强势,3,0.0946969696969697,1
强势,4,0.04238816738816739,1
强势,5,0.03300865800865801,1
强势,6,0.026695526695526696,1
强势,7,0.005230880230880231,1
强势,8,0.022186147186147188,1
强势,9,0.01875901875901876,1
强势,10,0.014971139971139972,1
强势,11,0.015151515151515152,1
强势,12,0.010281385281385282,1
强势,13,0.00036075036075036075,1
强势,14,0.007756132756132756,1
成功,0,0.689043817454222,4
成功,1,0.038427699468161894,4
成功,2,0.15629448586095984,4
成功,3,0.02062106968176332,4
成功,4,0.01582723634746756,4
成功,5,0.023055167375976623,4
成功,6,0.006031468531468531,4
成功,7,0.0140324992926149,4
成功,8,0.0005244755244755245,4
成功,9,0.006050481310596918,4
成功,10,0.0007867132867132868,4
成功,11,0.0016033966033966035,4
成功,12,0.007774321054667875,4
成功,13,0.007167832167832168,4
成功,14,0.01275933603968286,4
