帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,959,4129,0.23225962702833616
69da7e87000000001a03484e,1,966,4129,0.23395495277306855
69da7e87000000001a03484e,2,1080,4129,0.2615645434729959
69da7e87000000001a03484e,3,112,4129,0.02712521191571809
69da7e87000000001a03484e,4,402,4129,0.09736013562605958
69da7e87000000001a03484e,5,522,4129,0.1264228626786147
69da7e87000000001a03484e,6,88,4129,0.02131266650520707
69e44278000000001a0217bb,0,75,230,0.32608695652173914
69e44278000000001a0217bb,1,67,230,0.29130434782608694
69e44278000000001a0217bb,2,32,230,0.1391304347826087
69e44278000000001a0217bb,3,4,230,0.017391304347826087
69e44278000000001a0217bb,4,17,230,0.07391304347826087
69e44278000000001a0217bb,5,27,230,0.11739130434782609
69e44278000000001a0217bb,6,8,230,0.034782608695652174
69e44fbf000000001e00cc6a,1,1,8,0.125
69e44fbf000000001e00cc6a,2,1,8,0.125
69e44fbf000000001e00cc6a,4,1,8,0.125
69e44fbf000000001e00cc6a,6,5,8,0.625
69e4551e000000001f005895,0,41,254,0.16141732283464566
69e4551e000000001f005895,1,73,254,0.2874015748031496
69e4551e000000001f005895,2,66,254,0.25984251968503935
69e4551e000000001f005895,3,16,254,0.06299212598425197
69e4551e000000001f005895,4,9,254,0.03543307086614173
69e4551e000000001f005895,5,37,254,0.14566929133858267
69e4551e000000001f005895,6,12,254,0.047244094488188976
69e481e8000000002003ad94,0,1806,7512,0.24041533546325877
69e481e8000000002003ad94,1,934,7512,0.12433439829605963
69e481e8000000002003ad94,2,764,7512,0.10170394036208733
69e481e8000000002003ad94,3,1497,7512,0.1992811501597444
69e481e8000000002003ad94,4,1095,7512,0.1457667731629393
69e481e8000000002003ad94,5,716,7512,0.09531416400425985
69e481e8000000002003ad94,6,700,7512,0.09318423855165069
