post_category,topic,mean_share_post_averaged,n_posts_in_category
强势|服务者,0,0.16919595314164004,1
强势|服务者,1,0.10769435569755059,1
强势|服务者,2,0.1056975505857295,1
强势|服务者,3,0.05417997870074547,1
强势|服务者,4,0.1621405750798722,1
强势|服务者,5,0.09597976570820022,1
强势|服务者,6,0.07002129925452609,1
强势|服务者,7,0.07707667731629393,1
强势|服务者,8,0.08067092651757188,1
强势|服务者,9,0.07734291799787008,1
成功|服务者,0,0.0,1
成功|服务者,1,0.0,1
成功|服务者,2,0.0,1
成功|服务者,3,0.0,1
成功|服务者,4,0.125,1
成功|服务者,5,0.0,1
成功|服务者,6,0.0,1
成功|服务者,7,0.75,1
成功|服务者,8,0.125,1
成功|服务者,9,0.0,1
成功|被超越者,0,0.234851078397809,2
成功|被超越者,1,0.10520369736391647,2
成功|被超越者,2,0.01595344060253338,2
成功|被超越者,3,0.060492981855528934,2
成功|被超越者,4,0.07952755905511812,2
成功|被超越者,5,0.14272509414584048,2
成功|被超越者,6,0.1391989044847655,2
成功|被超越者,7,0.022064361520027387,2
成功|被超越者,8,0.06110920917494009,2
成功|被超越者,9,0.13887367339952073,2
成功|观众,0,0.22596270283361589,1
成功|观众,1,0.09009445386292081,1
成功|观众,2,0.01622668927100993,1
成功|观众,3,0.02760959069992734,1
成功|观众,4,0.12254783240494066,1
成功|观众,5,0.10583676434972149,1
成功|观众,6,0.15088399128118188,1
成功|观众,7,0.04117219665778639,1
成功|观众,8,0.04650036328408816,1
成功|观众,9,0.17316541535480745,1
