robot_status,topic,mean_share_post_averaged,n_posts_in_status
强势,0,0.14363684771033014,1
强势,1,0.09105431309904154,1
强势,2,0.09837593184238552,1
强势,3,0.05497870074547391,1
强势,4,0.08439829605963792,1
强势,5,0.068024494142705,1
强势,6,0.04619275825346113,1
强势,7,0.06735889243876464,1
强势,8,0.07441427050053248,1
强势,9,0.05497870074547391,1
强势,10,0.0724174653887114,1
强势,11,0.14416932907348243,1
成功,0,0.153820736652077,4
成功,1,0.06497625905525907,4
成功,2,0.011488466486783764,4
成功,3,0.029066568005512734,4
成功,4,0.06971073053640099,4
成功,5,0.053866349263967286,4
成功,6,0.07508413407425654,4
成功,7,0.07978262175447767,4
成功,8,0.09852082580032567,4
成功,9,0.07405339890549631,4
成功,10,0.11654261438847095,4
成功,11,0.17308729507697204,4
