帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,1124,4129,0.2722208767255994
69da7e87000000001a03484e,1,634,4129,0.15354807459433276
69da7e87000000001a03484e,2,220,4129,0.05328166626301768
69da7e87000000001a03484e,3,229,4129,0.055461370791959314
69da7e87000000001a03484e,4,1922,4129,0.46548801162509085
69e44278000000001a0217bb,0,81,230,0.3521739130434783
69e44278000000001a0217bb,1,47,230,0.20434782608695654
69e44278000000001a0217bb,2,10,230,0.043478260869565216
69e44278000000001a0217bb,3,11,230,0.04782608695652174
69e44278000000001a0217bb,4,81,230,0.3521739130434783
69e44fbf000000001e00cc6a,1,2,8,0.25
69e44fbf000000001e00cc6a,2,2,8,0.25
69e44fbf000000001e00cc6a,3,1,8,0.125
69e44fbf000000001e00cc6a,4,3,8,0.375
69e4551e000000001f005895,0,54,254,0.2125984251968504
69e4551e000000001f005895,1,34,254,0.13385826771653545
69e4551e000000001f005895,2,22,254,0.08661417322834646
69e4551e000000001f005895,3,27,254,0.1062992125984252
69e4551e000000001f005895,4,117,254,0.46062992125984253
69e481e8000000002003ad94,0,1531,7512,0.20380724174653886
69e481e8000000002003ad94,1,1362,7512,0.18130990415335463
69e481e8000000002003ad94,2,1360,7512,0.1810436634717785
69e481e8000000002003ad94,3,660,7512,0.0878594249201278
69e481e8000000002003ad94,4,2599,7512,0.3459797657082002
