post_category,topic,mean_share_post_averaged,n_posts_in_category
中性|观众,0,0.19513938527519656,1
中性|观众,1,0.1522516082916369,1
中性|观众,2,0.1529664045746962,1
中性|观众,3,0.11079342387419586,1
中性|观众,4,0.09363831308077197,1
中性|观众,5,0.0736240171551108,1
中性|观众,6,0.07005003573981415,1
中性|观众,7,0.06004288777698356,1
中性|观众,8,0.04431736954967834,1
中性|观众,9,0.04717655468191565,1
中性|评价者,0,0.22712418300653597,2
中性|评价者,1,0.20833333333333331,2
中性|评价者,2,0.12745098039215685,2
中性|评价者,3,0.12826797385620914,2
中性|评价者,4,0.0718954248366013,2
中性|评价者,5,0.007352941176470588,2
中性|评价者,6,0.014705882352941176,2
中性|评价者,7,0.04330065359477124,2
中性|评价者,8,0.1715686274509804,2
中性|评价者,9,0.0,2
