帖子id,topic,count,n_comments,share_within_cell
69e43a5a000000001d01dcc7,0,10,68,0.14705882352941177
69e43a5a000000001d01dcc7,1,17,68,0.25
69e43a5a000000001d01dcc7,2,3,68,0.04411764705882353
69e43a5a000000001d01dcc7,3,7,68,0.10294117647058823
69e43a5a000000001d01dcc7,4,20,68,0.29411764705882354
69e43a5a000000001d01dcc7,5,9,68,0.1323529411764706
69e43a5a000000001d01dcc7,6,2,68,0.029411764705882353
69e4426b000000001d01c7ed,0,339,1399,0.24231593995711223
69e4426b000000001d01c7ed,1,219,1399,0.15654038598999284
69e4426b000000001d01c7ed,2,225,1399,0.16082916368834882
69e4426b000000001d01c7ed,3,209,1399,0.14939242315939957
69e4426b000000001d01c7ed,4,174,1399,0.12437455325232309
69e4426b000000001d01c7ed,5,129,1399,0.09220872051465333
69e4426b000000001d01c7ed,6,104,1399,0.07433881343817011
69e5a09a000000002103ba03,0,10,36,0.2777777777777778
69e5a09a000000002103ba03,1,8,36,0.2222222222222222
69e5a09a000000002103ba03,2,4,36,0.1111111111111111
69e5a09a000000002103ba03,3,6,36,0.16666666666666666
69e5a09a000000002103ba03,4,3,36,0.08333333333333333
69e5a09a000000002103ba03,5,5,36,0.1388888888888889
