post_category,topic,mean_share_post_averaged,n_posts_in_category
中性|观众,0,0.21801286633309508,1
中性|观众,1,0.07862759113652609,1
中性|观众,2,0.11651179413867048,1
中性|观众,3,0.08291636883488206,1
中性|观众,4,0.09721229449606862,1
中性|观众,5,0.09292351679771266,1
中性|观众,6,0.07076483202287348,1
中性|观众,7,0.07791279485346676,1
中性|观众,8,0.10150107219442459,1
中性|观众,9,0.0636168691922802,1
中性|评价者,0,0.29084967320261434,2
中性|评价者,1,0.05637254901960784,2
中性|评价者,2,0.15032679738562094,2
中性|评价者,3,0.12254901960784315,2
中性|评价者,4,0.1781045751633987,2
中性|评价者,5,0.014705882352941176,2
中性|评价者,6,0.049836601307189546,2
中性|评价者,7,0.04330065359477124,2
中性|评价者,8,0.049836601307189546,2
中性|评价者,9,0.04411764705882353,2
