帖子id,topic,count,n_comments,share_within_cell
69e43a5a000000001d01dcc7,0,37,68,0.5441176470588235
69e43a5a000000001d01dcc7,1,3,68,0.04411764705882353
69e43a5a000000001d01dcc7,2,10,68,0.14705882352941177
69e43a5a000000001d01dcc7,3,5,68,0.07352941176470588
69e43a5a000000001d01dcc7,4,13,68,0.19117647058823528
69e4426b000000001d01c7ed,0,574,1399,0.41029306647605435
69e4426b000000001d01c7ed,1,116,1399,0.08291636883488206
69e4426b000000001d01c7ed,2,170,1399,0.12151536812008577
69e4426b000000001d01c7ed,3,263,1399,0.1879914224446033
69e4426b000000001d01c7ed,4,276,1399,0.19728377412437456
69e5a09a000000002103ba03,0,19,36,0.5277777777777778
69e5a09a000000002103ba03,2,3,36,0.08333333333333333
69e5a09a000000002103ba03,3,7,36,0.19444444444444445
69e5a09a000000002103ba03,4,7,36,0.19444444444444445
