帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e4d997000000001401a802,,61a259ca0000000002025a2b,笑死了，摄影届又多了一幅图,2026.04.19,云南,,1087.0,13,中性|观众,中性,观众,2,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e45af00000000014019407,,6197327c000000001000a952,小孩拿个奶瓶飕飕跑，爷爷踉踉跄跄在后头追，镜头一转，爹已经瘫地上摆烂了[笑哭R]机器人在这方面先做到100%还原了吗,2026.04.19,北京,,219.0,58,中性|观众,中性,观众,16,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e451fd000000001401c806,,5d6548b6000000000101abd0,太可爱啦还拿着奶瓶�[笑哭R][笑哭R][笑哭R][笑哭R][笑哭R][笑哭R],2026.04.19,广东,5607.0,124.0,40,中性|观众,中性,观众,2,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e46241000000001401e822,,594751f06a6a69131a8603f7,世界名画[大笑R],2026.04.19,福建,,347.0,9,中性|观众,中性,观众,2,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e45f74000000001401bc0a,,5f4109650000000001005a67,机器人为什么一定要做成人的形状？为什么不能做成四个轮子着地的，兼顾稳定性和速度，然后加上某种液体就能跑起来,2026.04.19,江苏,548.0,202.0,53,中性|观众,中性,观众,18,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e46d59000000001401c42a,,5cb19a9e0000000012003403,果然什么东西小了都可爱[喝奶茶R],2026.04.19,马来西亚,1250.0,27.0,17,中性|观众,中性,观众,3,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e45ff1000000001401c824,,602fe8fe000000000100578e,这小孩儿后来跑缺电了，蹲地上换电池的时候，被另一个机器人停下来围观，还被他幸灾乐祸地鼓掌来着,2026.04.19,河北,485.0,11.0,46,中性|观众,中性,观众,10,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e481650000000014018c2c,,64db26e20000000002011656,什么镜头转过去地上还坐了一个，把我笑抽了,2026.04.19,广东,617.0,12.0,20,中性|观众,中性,观众,3,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e48149000000001401dc0b,,60d0694d0000000001009d56,坐地上屁股不痛吗[偷笑R],2026.04.19,北京,0.0,0.0,13,中性|观众,中性,观众,3,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e4811e000000001401b002,,6187d9b100000000210246f9,小孩还带奶瓶�,2026.04.19,上海,2.0,0.0,7,中性|观众,中性,观众,2,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e4810d000000001401a41f,,611f38ce000000000100728a,娜塔莎（机甲版）,2026.04.19,天津,1.0,0.0,8,中性|观众,中性,观众,2,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e480d7000000001401c025,,5bc44da200490e00017bb7a5,小的跑的真快，大的像喝醉酒一样摇摇晃晃的,2026.04.19,江苏,0.0,0.0,20,中性|观众,中性,观众,4,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e480ad000000001401e005,,6313262600000000120022af,@aaaaa_pang [笑哭R]评论区笑死我了,2026.04.19,广东,0.0,1.0,24,中性|观众,中性,观众,2,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e4809e000000001401902b,,55e7322858944624639f6c75,小的发挥好稳定哦哈哈哈哈哈,2026.04.19,北京,1.0,0.0,13,中性|观众,中性,观众,2,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e4809d000000001401bc26,,58d63c6382ec3911846c3be4,爷爷没穿足力健,2026.04.19,广东,8.0,1.0,7,中性|观众,中性,观众,3,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e48087000000001401c412,,5e43a37600000000010032be,这就是龟兔赛跑吗,2026.04.19,河北,0.0,0.0,8,中性|观众,中性,观众,2,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e48075000000001401b814,,5a84546ce8ac2b3f785dc523,那个小朋友好可爱,2026.04.19,河北,0.0,0.0,8,中性|观众,中性,观众,2,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e48052000000001401d838,,5ef9418900000000010034cd,差点嘎巴一下躺下了[笑哭R],2026.04.19,福建,0.0,0.0,14,中性|观众,中性,观众,3,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e48043000000001401e024,,64c07a23000000001403fe50,跑太快心率太高了,2026.04.19,广东,0.0,0.0,8,中性|观众,中性,观众,3,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e4801a000000001401dc13,,64d389a5000000000b005e00,小家伙好像鲁班7号[喝奶茶R],2026.04.19,河南,0.0,0.0,15,中性|观众,中性,观众,3,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e4800c000000001401c407,,62236e780000000021022c5a,爸爸带孩子,2026.04.19,四川,0.0,0.0,5,中性|观众,中性,观众,2,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e48009000000001401bc31,,6474b8f4000000001c0296a1,龟兔赛跑啊,2026.04.19,山东,0.0,0.0,5,中性|观众,中性,观众,2,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e48000000000001401b004,,5fffa6c2000000000101c672,小小的挺可爱,2026.04.19,陕西,0.0,0.0,6,中性|观众,中性,观众,2,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e47fee0000000014019c27,,5ecfbd98000000000101f1ac,大的礼让小朋友,2026.04.19,四川,0.0,0.0,7,中性|观众,中性,观众,2,中性
69e4426b000000001d01c7ed,"一个大的一个小的一个废的

",,7334.0,1,69e47fe0000000001401e804,,5c35ca71000000000500fc4b,早就有很厉害的机器人了  把这些弄出来是为了降低人们的警惕性吗,2026.04.19,北京,1.0,0.0,31,中性|观众,中性,观众,9,中性
