post_category,topic,mean_share_post_averaged,n_posts_in_category
失败|抢救者,0,0.2712057068948817,2
失败|抢救者,1,0.04491701185707693,2
失败|抢救者,2,0.04969317463121129,2
失败|抢救者,3,0.045408445247198115,2
失败|抢救者,4,0.03691305759884221,2
失败|抢救者,5,0.27019292677784934,2
失败|抢救者,6,0.06194482271362396,2
失败|抢救者,7,0.04461075626613184,2
失败|抢救者,8,0.03751559766846907,2
失败|抢救者,9,0.0481818389010125,2
失败|抢救者,10,0.0492017412410901,2
失败|抢救者,11,0.040214920202613,2
失败|观众,0,0.35064935064935066,1
失败|观众,1,0.012987012987012988,1
失败|观众,2,0.05194805194805195,1
失败|观众,3,0.05194805194805195,1
失败|观众,4,0.06493506493506493,1
失败|观众,5,0.15584415584415584,1
失败|观众,6,0.11688311688311688,1
失败|观众,7,0.025974025974025976,1
失败|观众,8,0.012987012987012988,1
失败|观众,9,0.012987012987012988,1
失败|观众,10,0.03896103896103896,1
失败|观众,11,0.1038961038961039,1
