帖子id,topic,count,n_comments,share_within_cell
69db34bb000000001a0348ae,0,91,293,0.310580204778157
69db34bb000000001a0348ae,1,22,293,0.07508532423208192
69db34bb000000001a0348ae,2,23,293,0.07849829351535836
69db34bb000000001a0348ae,3,12,293,0.040955631399317405
69db34bb000000001a0348ae,4,13,293,0.04436860068259386
69db34bb000000001a0348ae,5,108,293,0.36860068259385664
69db34bb000000001a0348ae,6,24,293,0.08191126279863481
69e2583b00000000230211ea,0,379,1198,0.31636060100166946
69e2583b00000000230211ea,1,109,1198,0.09098497495826377
69e2583b00000000230211ea,2,120,1198,0.1001669449081803
69e2583b00000000230211ea,3,133,1198,0.11101836393989983
69e2583b00000000230211ea,4,138,1198,0.11519198664440734
69e2583b00000000230211ea,5,167,1198,0.13939899833055092
69e2583b00000000230211ea,6,152,1198,0.12687813021702837
69e41e24000000001a025f1a,0,31,77,0.4025974025974026
69e41e24000000001a025f1a,1,6,77,0.07792207792207792
69e41e24000000001a025f1a,2,7,77,0.09090909090909091
69e41e24000000001a025f1a,3,6,77,0.07792207792207792
69e41e24000000001a025f1a,4,7,77,0.09090909090909091
69e41e24000000001a025f1a,5,8,77,0.1038961038961039
69e41e24000000001a025f1a,6,12,77,0.15584415584415584
