Topic,ctfidf_top_terms
-1,"鲁班,孩子,七号,马拉松,没电,意义,可爱,矫健,红领巾,ai,工程师,学校,安全帽,大湾,小鼻嘎"
0,"机器人,人类,机器,人形,轮子,小机器人,机械,人形机器人,肯定,机器狗,形态,为什么,需要,玩具,马拉松"
1,"可爱,小小的,东西,喜欢,真的,果然,想买,小家伙,玩意,多少钱,小朋友,小时候,买回来,傻萌,不贵"
2,"评论,感动,真的,大胆,好好笑,表情,这句,营销,知道,加油,别人,流量,问题,deep,提问"
3,"短腿,腿短,这小,太短,倒腾,小腿,挺快,跑得慢,步伐,人家,输在,大长,步频,主要,容易"
4,"奶瓶,喝奶,奶嘴,手里,还拿个,吃奶,手上,断奶,甚至,宝宝,人家,可爱,马拉松,喝完,补充"
5,"鞋子,孩子,太大,大人,太重,妈妈,小孩,不快,是不是,拖累,穿着,行不行,买大,嘎吱,跑步"
6,"摔倒,随时,一步,一秒,绊倒,跪下,好怕,就要,一直,以为,大马,摔个,边缘,它会,看着"
7,"孩子,长大,小朋友,儿子,小孩,好怀念,心态,婆婆,不大,看着,大人,心疼,累坏,优秀,小孩子"
8,"参加,参赛,成人,未成年,儿童组,幼儿,小朋友,儿童,公平,禁止,童工,一起,那桌,报名,雇佣"
9,"第一,倒数,一名,最后,第一名,重要,记住,虽然,流量,胜利,散架,ta,名次,难道,努力"
10,"ppt,欣赏,反复,毕业论文,珍惜,一份,非常,心血,宝贝,excel,论文,离职,拷贝,舍得,表格"
11,"小派,感谢,关注,实力,亲友团,贺电,认可,发来,可爱,支持,持续,继续,家庭,小朋友,跑步"
12,"苍蝇,蟑螂,蚊子,老鼠,可爱,小小的,小时候,宝宝,一窝,幼虫,毛毛虫,楼主,北方,巨型,广东"
