post_category,topic,mean_share_post_averaged,n_posts_in_category
弱势|同伴,0,0.34983498349834985,1
弱势|同伴,1,0.07590759075907591,1
弱势|同伴,2,0.0924092409240924,1
弱势|同伴,3,0.056105610561056105,1
弱势|同伴,4,0.0594059405940594,1
弱势|同伴,5,0.08250825082508251,1
弱势|同伴,6,0.14521452145214522,1
弱势|同伴,7,0.052805280528052806,1
弱势|同伴,8,0.039603960396039604,1
弱势|同伴,9,0.0462046204620462,1
弱势|观众,0,0.2868459453825307,2
弱势|观众,1,0.07771784448613717,2
弱势|观众,2,0.10617312903898271,2
弱势|观众,3,0.06016781321659371,2
弱势|观众,4,0.04779028559516364,2
弱势|观众,5,0.05836981446737544,2
弱势|观众,6,0.11267458828434439,2
弱势|观众,7,0.07460391911611425,2
弱势|观众,8,0.08649937460913071,2
弱势|观众,9,0.08915728580362728,2
弱势|评价者,0,0.0,1
弱势|评价者,1,0.0,1
弱势|评价者,2,0.2,1
弱势|评价者,3,0.2,1
弱势|评价者,4,0.2,1
弱势|评价者,5,0.0,1
弱势|评价者,6,0.2,1
弱势|评价者,7,0.0,1
弱势|评价者,8,0.0,1
弱势|评价者,9,0.2,1
