post_category,topic,mean_share_post_averaged,n_posts_in_category
强势|服务者,0,0.2783189033189033,1
强势|服务者,1,0.270021645021645,1
强势|服务者,2,0.16017316017316016,1
强势|服务者,3,0.0946969696969697,1
强势|服务者,4,0.04238816738816739,1
强势|服务者,5,0.03300865800865801,1
强势|服务者,6,0.026695526695526696,1
强势|服务者,7,0.005230880230880231,1
强势|服务者,8,0.022186147186147188,1
强势|服务者,9,0.01875901875901876,1
强势|服务者,10,0.014971139971139972,1
强势|服务者,11,0.015151515151515152,1
强势|服务者,12,0.010281385281385282,1
强势|服务者,13,0.00036075036075036075,1
强势|服务者,14,0.007756132756132756,1
成功|服务者,0,1.0,1
成功|服务者,1,0.0,1
成功|服务者,2,0.0,1
成功|服务者,3,0.0,1
成功|服务者,4,0.0,1
成功|服务者,5,0.0,1
成功|服务者,6,0.0,1
成功|服务者,7,0.0,1
成功|服务者,8,0.0,1
成功|服务者,9,0.0,1
成功|服务者,10,0.0,1
成功|服务者,11,0.0,1
成功|服务者,12,0.0,1
成功|服务者,13,0.0,1
成功|服务者,14,0.0,1
成功|被超越者,0,0.6001156069364162,2
成功|被超越者,1,0.05727497935590421,2
成功|被超越者,2,0.23042113955408755,2
成功|被超越者,3,0.03162675474814203,2
成功|被超越者,4,0.005780346820809248,2
成功|被超越者,5,0.028802642444260944,2
成功|被超越者,6,0.0,2
成功|被超越者,7,0.002890173410404624,2
成功|被超越者,8,0.0,2
成功|被超越者,9,0.008604459124690338,2
成功|被超越者,10,0.0,2
成功|被超越者,11,0.002857142857142857,2
成功|被超越者,12,0.011527663088356729,2
成功|被超越者,13,0.0,2
成功|被超越者,14,0.020099091659785302,2
成功|观众,0,0.5559440559440559,1
成功|观众,1,0.039160839160839164,1
成功|观众,2,0.16433566433566432,1
成功|观众,3,0.019230769230769232,1
成功|观众,4,0.05174825174825175,1
成功|观众,5,0.03461538461538462,1
成功|观众,6,0.024125874125874126,1
成功|观众,7,0.05034965034965035,1
成功|观众,8,0.002097902097902098,1
成功|观众,9,0.006993006993006993,1
成功|观众,10,0.003146853146853147,1
成功|观众,11,0.0006993006993006993,1
成功|观众,12,0.008041958041958041,1
成功|观众,13,0.028671328671328673,1
成功|观众,14,0.010839160839160839,1
