post_category,topic,mean_share_post_averaged,n_posts_in_category
强势|服务者,0,0.2750266240681576,1
强势|服务者,1,0.125,1
强势|服务者,2,0.17438764643237487,1
强势|服务者,3,0.22630457933972312,1
强势|服务者,4,0.1992811501597444,1
成功|服务者,0,0.0,1
成功|服务者,1,0.125,1
成功|服务者,2,0.0,1
成功|服务者,3,0.875,1
成功|服务者,4,0.0,1
成功|被超越者,0,0.26052721670660733,2
成功|被超越者,1,0.3872475179732968,2
成功|被超越者,2,0.20236220472440947,2
成功|被超越者,3,0.10967134542964738,2
成功|被超越者,4,0.040191715166039026,2
成功|观众,0,0.2654395737466699,1
成功|观众,1,0.39815936062000484,1
成功|观众,2,0.20707193024945508,1
成功|观众,3,0.10220392346815209,1
成功|观众,4,0.02712521191571809,1
