post_category,topic,mean_share_post_averaged,n_posts_in_category
强势|服务者,0,0.23176251331203407,1
强势|服务者,1,0.2137912673056443,1
强势|服务者,2,0.1683972310969116,1
强势|服务者,3,0.1954206602768903,1
强势|服务者,4,0.1906283280085197,1
成功|服务者,0,0.0,1
成功|服务者,1,0.125,1
成功|服务者,2,0.125,1
成功|服务者,3,0.625,1
成功|服务者,4,0.125,1
成功|被超越者,0,0.2984594317014721,2
成功|被超越者,1,0.12418692228688805,2
成功|被超越者,2,0.18050325231085246,2
成功|被超越者,3,0.25124957206436155,2
成功|被超越者,4,0.14560082163642588,2
成功|观众,0,0.27246306611770404,1
成功|观众,1,0.09639137805764107,1
成功|观众,2,0.20658755146524582,1
成功|观众,3,0.24897069508355535,1
成功|观众,4,0.17558730927585373,1
