帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,1087,4129,0.26325986921772826
69da7e87000000001a03484e,1,205,4129,0.04964882538144829
69da7e87000000001a03484e,2,601,4129,0.14555582465488012
69da7e87000000001a03484e,3,691,4129,0.16735286994429643
69da7e87000000001a03484e,4,603,4129,0.14604020343908936
69da7e87000000001a03484e,5,563,4129,0.13635262775490434
69da7e87000000001a03484e,6,379,4129,0.09178977960765318
69e44278000000001a0217bb,0,57,230,0.24782608695652175
69e44278000000001a0217bb,1,7,230,0.030434782608695653
69e44278000000001a0217bb,2,35,230,0.15217391304347827
69e44278000000001a0217bb,3,26,230,0.11304347826086956
69e44278000000001a0217bb,4,37,230,0.1608695652173913
69e44278000000001a0217bb,5,44,230,0.19130434782608696
69e44278000000001a0217bb,6,24,230,0.10434782608695652
69e44fbf000000001e00cc6a,0,2,8,0.25
69e44fbf000000001e00cc6a,2,2,8,0.25
69e44fbf000000001e00cc6a,3,3,8,0.375
69e44fbf000000001e00cc6a,5,1,8,0.125
69e4551e000000001f005895,0,70,254,0.2755905511811024
69e4551e000000001f005895,1,25,254,0.0984251968503937
69e4551e000000001f005895,2,21,254,0.08267716535433071
69e4551e000000001f005895,3,44,254,0.1732283464566929
69e4551e000000001f005895,4,29,254,0.1141732283464567
69e4551e000000001f005895,5,32,254,0.12598425196850394
69e4551e000000001f005895,6,33,254,0.12992125984251968
69e481e8000000002003ad94,0,1151,7512,0.15322151224707134
69e481e8000000002003ad94,1,1336,7512,0.17784877529286475
69e481e8000000002003ad94,2,743,7512,0.09890841320553781
69e481e8000000002003ad94,3,859,7512,0.11435037273695421
69e481e8000000002003ad94,4,986,7512,0.1312566560170394
69e481e8000000002003ad94,5,1029,7512,0.1369808306709265
69e481e8000000002003ad94,6,1408,7512,0.18743343982960597
