post_category,topic,mean_share_post_averaged,n_posts_in_category
中性|观众,0,0.3615894039735099,1
中性|观众,1,0.018543046357615896,1
中性|观众,2,0.02781456953642384,1
中性|观众,3,0.1509933774834437,1
中性|观众,4,0.011920529801324504,1
中性|观众,5,0.026490066225165563,1
中性|观众,6,0.006622516556291391,1
中性|观众,7,0.003973509933774834,1
中性|观众,8,0.013245033112582781,1
中性|观众,9,0.01456953642384106,1
中性|观众,10,0.0026490066225165563,1
中性|观众,11,0.10066225165562914,1
中性|观众,12,0.017218543046357615,1
中性|观众,13,0.007947019867549669,1
中性|观众,14,0.006622516556291391,1
中性|观众,15,0.0,1
中性|观众,16,0.09933774834437085,1
中性|观众,17,0.003973509933774834,1
中性|观众,18,0.006622516556291391,1
中性|观众,19,0.030463576158940398,1
中性|观众,20,0.0,1
中性|观众,21,0.011920529801324504,1
中性|观众,22,0.013245033112582781,1
中性|观众,23,0.0013245033112582781,1
中性|观众,24,0.0,1
中性|观众,25,0.0026490066225165563,1
中性|观众,26,0.0013245033112582781,1
中性|观众,27,0.038410596026490065,1
中性|观众,28,0.0026490066225165563,1
中性|观众,29,0.013245033112582781,1
中性|观众,30,0.003973509933774834,1
中性|评价者,0,0.30023923444976075,2
中性|评价者,1,0.0,2
中性|评价者,2,0.2583732057416268,2
中性|评价者,3,0.05263157894736842,2
中性|评价者,4,0.03588516746411483,2
中性|评价者,5,0.03588516746411483,2
中性|评价者,6,0.03588516746411483,2
中性|评价者,7,0.013157894736842105,2
中性|评价者,8,0.02631578947368421,2
中性|评价者,9,0.07177033492822966,2
中性|评价者,10,0.0,2
中性|评价者,11,0.0,2
中性|评价者,12,0.02631578947368421,2
中性|评价者,13,0.0,2
中性|评价者,14,0.0,2
中性|评价者,15,0.0,2
中性|评价者,16,0.013157894736842105,2
中性|评价者,17,0.0,2
中性|评价者,18,0.045454545454545456,2
中性|评价者,19,0.02631578947368421,2
中性|评价者,20,0.0,2
中性|评价者,21,0.0,2
中性|评价者,22,0.0,2
中性|评价者,23,0.0,2
中性|评价者,24,0.0,2
中性|评价者,25,0.022727272727272728,2
中性|评价者,26,0.0,2
中性|评价者,27,0.0,2
中性|评价者,28,0.0,2
中性|评价者,29,0.03588516746411483,2
中性|评价者,30,0.0,2
失败|抢救者,0,0.3082839840744086,2
失败|抢救者,1,0.005868379671451035,2
失败|抢救者,2,0.014784703402589581,2
失败|抢救者,3,0.08787848372310883,2
