robot_status,topic,mean_share_post_averaged,n_posts_in_status
,0,0.3620093177478037,18
,1,0.05544691916115239,18
,2,0.08442718027391972,18
,3,0.042415631639199314,18
,4,0.05118137219797361,18
,5,0.03098154630293302,18
,6,0.04051013820103161,18
,7,0.02275208284509667,18
,8,0.027907398501780905,18
,9,0.03629829830984896,18
,10,0.029002340167648386,18
,11,0.016922751754398835,18
,12,0.01619115714421378,18
,13,0.007116666805940774,18
,14,0.011414978913673605,18
,15,0.03485512887056726,18
,16,0.008795887534330164,18
,17,0.016658926556638226,18
,18,0.016142591219900214,18
,19,0.010725640170935942,18
,20,0.0030052148846567844,18
,21,0.00814362087911188,18
,22,0.005882906742095666,18
,23,0.019191346427275654,18
,24,0.004615054056795784,18
,25,0.0038939946332143213,18
,26,0.01840525751043791,18
,27,0.006292789164164041,18
,28,0.000717675260935427,18
,29,0.006609348458036866,18
,30,0.0014868376642886091,18
中性,0,0.3206892909576771,3
中性,1,0.006181015452538632,3
中性,2,0.18152032700655915,3
中性,3,0.08541884512606018,3
中性,4,0.02789695490985139,3
中性,5,0.03275346705113174,3
中性,6,0.02613095049484035,3
中性,7,0.010096433135819682,3
中性,8,0.021958870686650398,3
中性,9,0.052703402093433466,3
中性,10,0.0008830022075055188,3
中性,11,0.033554083885209716,3
中性,12,0.02328337399790868,3
中性,13,0.0026490066225165563,3
中性,14,0.002207505518763797,3
中性,15,0.0,3
中性,16,0.04188451260601835,3
中性,17,0.0013245033112582781,3
中性,18,0.032510535821794105,3
中性,19,0.02769838503543627,3
中性,20,0.0,3
中性,21,0.003973509933774834,3
中性,22,0.004415011037527594,3
中性,23,0.0004415011037527594,3
中性,24,0.0,3
中性,25,0.01603451735902067,3
中性,26,0.0004415011037527594,3
中性,27,0.012803532008830021,3
中性,28,0.0008830022075055188,3
中性,29,0.028338456013604147,3
中性,30,0.0013245033112582781,3
失败,0,0.31078581394434257,3
失败,1,0.09163155135991473,3
失败,2,0.027400328584182527,3
失败,3,0.07612951546452869,3
失败,4,0.03907123021847503,3
失败,5,0.1459268298552598,3
失败,6,0.012396979936877557,3
失败,7,0.0032007315957933245,3
失败,8,0.003657978966620942,3
失败,9,0.018679699684153003,3
失败,10,0.012938457086541842,3
失败,11,0.001828989483310471,3
失败,12,0.008333054523960878,3
失败,13,0.12367760714644183,3
失败,14,0.014055925051344946,3
失败,15,0.0004572473708276177,3
失败,16,0.0,3
失败,17,0.01991591109326731,3
失败,18,0.0039122531143006905,3
失败,19,0.0,3
失败,20,0.0,3
失败,21,0.013598677680517328,3
失败,22,0.0009144947416552355,3
失败,23,0.0004572473708276177,3
失败,24,0.0004572473708276177,3
失败,25,0.004166527261980439,3
失败,26,0.004115226337448559,3
失败,27,0.0,3
失败,28,0.053551473786342806,3
失败,29,0.005486968449931413,3
失败,30,0.0032520325203252032,3
弱势,0,0.18839044153246887,4
弱势,1,0.011003823176127074,4
弱势,2,0.019390800476952425,4
弱势,3,0.3121332571509913,4
弱势,4,0.014965392831127385,4
弱势,5,0.03731940742966753,4
弱势,6,0.0240801443510398,4
弱势,7,0.002281021897810219,4
弱势,8,0.019855132730376895,4
弱势,9,0.032075171410269596,4
弱势,10,0.003977331140125424,4
弱势,11,0.0941313235957011,4
弱势,12,0.01358101820731614,4
