帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,1102,2406,0.45802161263507896
69da7e87000000001a03484e,1,424,2406,0.17622610141313383
69da7e87000000001a03484e,2,186,2406,0.0773067331670823
69da7e87000000001a03484e,3,18,2406,0.007481296758104738
69da7e87000000001a03484e,4,69,2406,0.028678304239401497
69da7e87000000001a03484e,5,108,2406,0.04488778054862843
69da7e87000000001a03484e,6,18,2406,0.007481296758104738
69da7e87000000001a03484e,7,66,2406,0.02743142144638404
69da7e87000000001a03484e,8,134,2406,0.05569409808811305
69da7e87000000001a03484e,9,21,2406,0.008728179551122194
69da7e87000000001a03484e,10,75,2406,0.03117206982543641
69da7e87000000001a03484e,11,175,2406,0.07273482959268496
69da7e87000000001a03484e,12,4,2406,0.0016625103906899418
69da7e87000000001a03484e,13,2,2406,0.0008312551953449709
69da7e87000000001a03484e,14,4,2406,0.0016625103906899418
69db34bb000000001a0348ae,0,98,163,0.6012269938650306
69db34bb000000001a0348ae,1,1,163,0.006134969325153374
69db34bb000000001a0348ae,2,39,163,0.2392638036809816
69db34bb000000001a0348ae,3,1,163,0.006134969325153374
69db34bb000000001a0348ae,4,1,163,0.006134969325153374
69db34bb000000001a0348ae,5,10,163,0.06134969325153374
69db34bb000000001a0348ae,6,2,163,0.012269938650306749
69db34bb000000001a0348ae,7,2,163,0.012269938650306749
69db34bb000000001a0348ae,9,3,163,0.018404907975460124
69db34bb000000001a0348ae,10,4,163,0.024539877300613498
69db34bb000000001a0348ae,11,2,163,0.012269938650306749
69df625d0000000021005c63,0,316,660,0.47878787878787876
69df625d0000000021005c63,1,53,660,0.0803030303030303
69df625d0000000021005c63,2,114,660,0.17272727272727273
69df625d0000000021005c63,3,3,660,0.004545454545454545
69df625d0000000021005c63,4,53,660,0.0803030303030303
69df625d0000000021005c63,5,45,660,0.06818181818181818
69df625d0000000021005c63,6,4,660,0.006060606060606061
69df625d0000000021005c63,7,22,660,0.03333333333333333
69df625d0000000021005c63,8,4,660,0.006060606060606061
69df625d0000000021005c63,9,30,660,0.045454545454545456
69df625d0000000021005c63,10,2,660,0.0030303030303030303
