帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,836,4176,0.20019157088122605
69da7e87000000001a03484e,1,312,4176,0.07471264367816093
69da7e87000000001a03484e,2,719,4176,0.17217432950191572
69da7e87000000001a03484e,3,477,4176,0.11422413793103449
69da7e87000000001a03484e,4,634,4176,0.1518199233716475
69da7e87000000001a03484e,5,110,4176,0.026340996168582376
69da7e87000000001a03484e,6,440,4176,0.1053639846743295
69da7e87000000001a03484e,7,490,4176,0.11733716475095786
69da7e87000000001a03484e,8,92,4176,0.022030651340996167
69da7e87000000001a03484e,9,66,4176,0.015804597701149427
69db34bb000000001a0348ae,0,135,296,0.4560810810810811
69db34bb000000001a0348ae,1,65,296,0.2195945945945946
69db34bb000000001a0348ae,2,46,296,0.1554054054054054
69db34bb000000001a0348ae,3,24,296,0.08108108108108109
69db34bb000000001a0348ae,4,3,296,0.010135135135135136
69db34bb000000001a0348ae,5,5,296,0.016891891891891893
69db34bb000000001a0348ae,6,1,296,0.0033783783783783786
69db34bb000000001a0348ae,7,14,296,0.0472972972972973
69db34bb000000001a0348ae,8,3,296,0.010135135135135136
69df625d0000000021005c63,0,287,1200,0.23916666666666667
69df625d0000000021005c63,1,219,1200,0.1825
69df625d0000000021005c63,2,228,1200,0.19
69df625d0000000021005c63,3,139,1200,0.11583333333333333
69df625d0000000021005c63,4,115,1200,0.09583333333333334
69df625d0000000021005c63,5,10,1200,0.008333333333333333
69df625d0000000021005c63,6,41,1200,0.034166666666666665
69df625d0000000021005c63,7,51,1200,0.0425
69df625d0000000021005c63,8,57,1200,0.0475
69df625d0000000021005c63,9,53,1200,0.04416666666666667
69e2583b00000000230211ea,0,239,1221,0.19574119574119575
69e2583b00000000230211ea,1,100,1221,0.0819000819000819
69e2583b00000000230211ea,2,249,1221,0.20393120393120392
69e2583b00000000230211ea,3,391,1221,0.3202293202293202
69e2583b00000000230211ea,4,65,1221,0.05323505323505324
69e2583b00000000230211ea,5,12,1221,0.009828009828009828
69e2583b00000000230211ea,6,43,1221,0.03521703521703522
69e2583b00000000230211ea,7,66,1221,0.05405405405405406
69e2583b00000000230211ea,8,38,1221,0.031122031122031123
69e2583b00000000230211ea,9,18,1221,0.014742014742014743
69e40352000000002102fc75,0,239,701,0.340941512125535
69e40352000000002102fc75,1,59,701,0.08416547788873038
69e40352000000002102fc75,2,181,701,0.2582025677603424
69e40352000000002102fc75,3,37,701,0.052781740370898715
69e40352000000002102fc75,4,51,701,0.07275320970042796
69e40352000000002102fc75,5,18,701,0.025677603423680456
69e40352000000002102fc75,6,35,701,0.04992867332382311
69e40352000000002102fc75,7,46,701,0.06562054208273894
69e40352000000002102fc75,8,33,701,0.047075606276747506
69e40352000000002102fc75,9,2,701,0.0028530670470756064
69e41e24000000001a025f1a,0,16,78,0.20512820512820512
69e41e24000000001a025f1a,1,11,78,0.14102564102564102
69e41e24000000001a025f1a,2,7,78,0.08974358974358974
69e41e24000000001a025f1a,3,20,78,0.2564102564102564
69e41e24000000001a025f1a,4,8,78,0.10256410256410256
69e41e24000000001a025f1a,5,10,78,0.1282051282051282
69e41e24000000001a025f1a,7,1,78,0.01282051282051282
69e41e24000000001a025f1a,8,2,78,0.02564102564102564
69e41e24000000001a025f1a,9,3,78,0.038461538461538464
69e429b4000000001b00037a,0,72,473,0.1522198731501057
69e429b4000000001b00037a,1,117,473,0.24735729386892177
69e429b4000000001b00037a,2,87,473,0.1839323467230444
69e429b4000000001b00037a,3,67,473,0.1416490486257928
69e429b4000000001b00037a,4,57,473,0.12050739957716702
69e429b4000000001b00037a,5,12,473,0.02536997885835095
69e429b4000000001b00037a,6,2,473,0.004228329809725159
69e429b4000000001b00037a,7,15,473,0.03171247357293869
69e429b4000000001b00037a,8,34,473,0.07188160676532769
69e429b4000000001b00037a,9,10,473,0.021141649048625793
69e42cc100000000220001ad,0,131,955,0.13717277486910995
69e42cc100000000220001ad,1,299,955,0.31308900523560207
69e42cc100000000220001ad,2,114,955,0.1193717277486911
69e42cc100000000220001ad,3,230,955,0.24083769633507854
69e42cc100000000220001ad,4,90,955,0.09424083769633508
69e42cc100000000220001ad,5,19,955,0.019895287958115182
69e42cc100000000220001ad,6,34,955,0.0356020942408377
69e42cc100000000220001ad,7,31,955,0.032460732984293195
69e42cc100000000220001ad,8,6,955,0.0062827225130890054
69e42cc100000000220001ad,9,1,955,0.0010471204188481676
69e43a5a000000001d01dcc7,0,12,69,0.17391304347826086
69e43a5a000000001d01dcc7,1,15,69,0.21739130434782608
69e43a5a000000001d01dcc7,2,11,69,0.15942028985507245
69e43a5a000000001d01dcc7,3,8,69,0.11594202898550725
69e43a5a000000001d01dcc7,4,7,69,0.10144927536231885
69e43a5a000000001d01dcc7,5,2,69,0.028985507246376812
69e43a5a000000001d01dcc7,7,1,69,0.014492753623188406
69e43a5a000000001d01dcc7,8,12,69,0.17391304347826086
69e43a5a000000001d01dcc7,9,1,69,0.014492753623188406
69e43b14000000001a02e095,0,94,702,0.1339031339031339
69e43b14000000001a02e095,1,129,702,0.18376068376068377
69e43b14000000001a02e095,2,52,702,0.07407407407407407
69e43b14000000001a02e095,3,62,702,0.08831908831908832
69e43b14000000001a02e095,4,30,702,0.042735042735042736
69e43b14000000001a02e095,5,285,702,0.405982905982906
69e43b14000000001a02e095,6,7,702,0.009971509971509971
69e43b14000000001a02e095,7,19,702,0.027065527065527065
69e43b14000000001a02e095,8,24,702,0.03418803418803419
69e4412a000000002103883f,0,57,295,0.19322033898305085
69e4412a000000002103883f,1,31,295,0.10508474576271186
69e4412a000000002103883f,2,44,295,0.14915254237288136
69e4412a000000002103883f,3,26,295,0.08813559322033898
69e4412a000000002103883f,4,53,295,0.17966101694915254
69e4412a000000002103883f,5,11,295,0.03728813559322034
69e4412a000000002103883f,6,26,295,0.08813559322033898
69e4412a000000002103883f,7,16,295,0.05423728813559322
69e4412a000000002103883f,8,25,295,0.0847457627118644
69e4412a000000002103883f,9,6,295,0.020338983050847456
69e44171000000001a026b25,0,60,328,0.18292682926829268
69e44171000000001a026b25,1,31,328,0.09451219512195122
69e44171000000001a026b25,2,43,328,0.13109756097560976
69e44171000000001a026b25,3,137,328,0.4176829268292683
69e44171000000001a026b25,4,11,328,0.03353658536585366
69e44171000000001a026b25,5,18,328,0.054878048780487805
69e44171000000001a026b25,6,1,328,0.003048780487804878
69e44171000000001a026b25,7,5,328,0.01524390243902439
69e44171000000001a026b25,8,15,328,0.04573170731707317
69e44171000000001a026b25,9,7,328,0.021341463414634148
69e4426b000000001d01c7ed,0,246,1421,0.17311752287121746
69e4426b000000001d01c7ed,1,623,1421,0.43842364532019706
69e4426b000000001d01c7ed,2,97,1421,0.06826178747361013
69e4426b000000001d01c7ed,3,240,1421,0.1688951442646024
69e4426b000000001d01c7ed,4,63,1421,0.04433497536945813
69e4426b000000001d01c7ed,5,31,1421,0.021815622800844477
69e4426b000000001d01c7ed,6,67,1421,0.047149894440534836
69e4426b000000001d01c7ed,7,17,1421,0.011963406052076003
