post_category,topic,mean_share_post_averaged,n_posts_in_category
中性|观众,0,0.19071076706544687,1
中性|观众,1,0.5024630541871922,1
中性|观众,2,0.18508092892329345,1
中性|观众,3,0.0752990851513019,1
中性|观众,4,0.04644616467276566,1
中性|评价者,0,0.19506462984723855,2
中性|评价者,1,0.27477477477477474,2
中性|评价者,2,0.2718370544457501,2
中性|评价者,3,0.236584410497454,2
中性|评价者,4,0.021739130434782608,2
失败|抢救者,0,0.34761466011466013,2
失败|抢救者,1,0.36947174447174447,2
失败|抢救者,2,0.1738841113841114,2
失败|抢救者,3,0.09526003276003275,2
失败|抢救者,4,0.013769451269451269,2
失败|观众,0,0.20512820512820512,1
失败|观众,1,0.2692307692307692,1
失败|观众,2,0.3333333333333333,1
失败|观众,3,0.038461538461538464,1
失败|观众,4,0.15384615384615385,1
弱势|同伴,0,0.18387096774193548,1
弱势|同伴,1,0.5516129032258065,1
弱势|同伴,2,0.17096774193548386,1
弱势|同伴,3,0.07096774193548387,1
弱势|同伴,4,0.02258064516129032,1
弱势|观众,0,0.12314808974116362,2
弱势|观众,1,0.4453310624697744,2
弱势|观众,2,0.3231985533758069,2
弱势|观众,3,0.08379486532517505,2
弱势|观众,4,0.024527429088080067,2
弱势|评价者,0,0.0,1
弱势|评价者,1,1.0,1
弱势|评价者,2,0.0,1
弱势|评价者,3,0.0,1
弱势|评价者,4,0.0,1
强势|服务者,0,0.25936145053212456,1
强势|服务者,1,0.10760741032715807,1
强势|服务者,2,0.1200893443699908,1
强势|服务者,3,0.30442780186572066,1
强势|服务者,4,0.2085139929050059,1
成功|服务者,0,0.0,1
成功|服务者,1,0.0,1
成功|服务者,2,0.25,1
成功|服务者,3,0.625,1
成功|服务者,4,0.125,1
成功|被超越者,0,0.2997102409139829,2
成功|被超越者,1,0.2748489113337197,2
成功|被超越者,2,0.2593509396473218,2
成功|被超越者,3,0.1287606589949499,2
成功|被超越者,4,0.037329249110025664,2
成功|观众,0,0.27873563218390807,1
成功|观众,1,0.18151340996168583,1
成功|观众,2,0.3057950191570881,1
成功|观众,3,0.1997126436781609,1
成功|观众,4,0.034243295019157086,1
