robot_status,topic,mean_share_post_averaged,n_posts_in_status
,0,0.25219728577686623,18
,1,0.19744749572380932,18
,2,0.1508029124552372,18
,3,0.11187483404661396,18
,4,0.11274695722613481,18
,5,0.05744984924818086,18
,6,0.11748066552315756,18
中性,0,0.19408249543182077,3
中性,1,0.29836056415623774,3
中性,2,0.1991479898954733,3
中性,3,0.1386273217500461,3
中性,4,0.07197035789882224,3
中性,5,0.02246835765790574,3
中性,6,0.0753429132096941,3
失败,0,0.29865967365967366,3
失败,1,0.19411894411894412,3
失败,2,0.2634111384111384,3
失败,3,0.03656366156366156,3
失败,4,0.09950859950859951,3
失败,5,0.06018868518868519,3
失败,6,0.04754929754929755,3
弱势,0,0.105122431967356,4
弱势,1,0.5689302726867612,4
弱势,2,0.14738297896873764,4
弱势,3,0.03477063124987706,4
弱势,4,0.06452030042141205,4
弱势,5,0.017908875834362615,4
弱势,6,0.0613645088714934,4
强势,0,0.25226645644461965,1
强势,1,0.04440940743660492,1
强势,2,0.10734463276836158,1
强势,3,0.2230981474182105,1
强势,4,0.1480751543818158,1
强势,5,0.20063066614111155,1
强势,6,0.02417553540927605,1
成功,0,0.19570687399111658,4
成功,1,0.13648029225859515,4
成功,2,0.17268502889978143,4
成功,3,0.21776815363670649,4
成功,4,0.12080589483695936,4
成功,5,0.056918934899840415,4
成功,6,0.09963482147700055,4
