帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,405,4176,0.09698275862068965
69da7e87000000001a03484e,1,229,4176,0.05483716475095785
69da7e87000000001a03484e,2,305,4176,0.07303639846743296
69da7e87000000001a03484e,3,353,4176,0.08453065134099617
69da7e87000000001a03484e,4,296,4176,0.07088122605363985
69da7e87000000001a03484e,5,347,4176,0.08309386973180076
69da7e87000000001a03484e,6,465,4176,0.11135057471264367
69da7e87000000001a03484e,7,305,4176,0.07303639846743296
69da7e87000000001a03484e,8,485,4176,0.11613984674329501
69da7e87000000001a03484e,9,435,4176,0.10416666666666667
69da7e87000000001a03484e,10,238,4176,0.05699233716475096
69da7e87000000001a03484e,11,313,4176,0.07495210727969348
69db34bb000000001a0348ae,0,29,296,0.09797297297297297
69db34bb000000001a0348ae,1,25,296,0.08445945945945946
69db34bb000000001a0348ae,2,12,296,0.04054054054054054
69db34bb000000001a0348ae,3,49,296,0.16554054054054054
69db34bb000000001a0348ae,4,65,296,0.2195945945945946
69db34bb000000001a0348ae,5,12,296,0.04054054054054054
69db34bb000000001a0348ae,6,13,296,0.04391891891891892
69db34bb000000001a0348ae,7,18,296,0.060810810810810814
69db34bb000000001a0348ae,8,18,296,0.060810810810810814
69db34bb000000001a0348ae,9,23,296,0.0777027027027027
69db34bb000000001a0348ae,10,16,296,0.05405405405405406
69db34bb000000001a0348ae,11,16,296,0.05405405405405406
69df625d0000000021005c63,0,120,1200,0.1
69df625d0000000021005c63,1,93,1200,0.0775
69df625d0000000021005c63,2,74,1200,0.06166666666666667
69df625d0000000021005c63,3,127,1200,0.10583333333333333
69df625d0000000021005c63,4,88,1200,0.07333333333333333
69df625d0000000021005c63,5,113,1200,0.09416666666666666
69df625d0000000021005c63,6,140,1200,0.11666666666666667
69df625d0000000021005c63,7,76,1200,0.06333333333333334
69df625d0000000021005c63,8,87,1200,0.0725
69df625d0000000021005c63,9,102,1200,0.085
69df625d0000000021005c63,10,65,1200,0.05416666666666667
69df625d0000000021005c63,11,115,1200,0.09583333333333334
69e2583b00000000230211ea,0,128,1221,0.10483210483210484
69e2583b00000000230211ea,1,111,1221,0.09090909090909091
69e2583b00000000230211ea,2,74,1221,0.06060606060606061
69e2583b00000000230211ea,3,164,1221,0.13431613431613432
69e2583b00000000230211ea,4,86,1221,0.07043407043407043
69e2583b00000000230211ea,5,145,1221,0.11875511875511875
69e2583b00000000230211ea,6,120,1221,0.09828009828009827
69e2583b00000000230211ea,7,75,1221,0.06142506142506143
69e2583b00000000230211ea,8,91,1221,0.07452907452907453
