post_category,topic,mean_share_post_averaged,n_posts_in_category
中性|观众,0,0.17100633356790992,1
中性|观众,1,0.21815622800844475,1
中性|观众,2,0.10907811400422238,1
中性|观众,3,0.22448979591836735,1
中性|观众,4,0.07952146375791697,1
中性|观众,5,0.08163265306122448,1
中性|观众,6,0.11611541168191415,1
中性|评价者,0,0.18879749314531924,2
中性|评价者,1,0.1318057187622405,2
中性|评价者,2,0.05699177438307873,2
中性|评价者,3,0.14629847238542892,2
中性|评价者,4,0.2066196631414023,2
中性|评价者,5,0.09224441833137485,2
中性|评价者,6,0.1772424598511555,2
失败|抢救者,0,0.14726658476658477,2
失败|抢救者,1,0.13544226044226043,2
失败|抢救者,2,0.1285831285831286,2
失败|抢救者,3,0.18591318591318592,2
失败|抢救者,4,0.21222358722358722,2
失败|抢救者,5,0.0774979524979525,2
失败|抢救者,6,0.11307330057330058,2
失败|观众,0,0.16666666666666666,1
失败|观众,1,0.10256410256410256,1
失败|观众,2,0.08974358974358974,1
失败|观众,3,0.14102564102564102,1
失败|观众,4,0.14102564102564102,1
失败|观众,5,0.19230769230769232,1
失败|观众,6,0.16666666666666666,1
弱势|同伴,0,0.17096774193548386,1
弱势|同伴,1,0.2032258064516129,1
弱势|同伴,2,0.08064516129032258,1
弱势|同伴,3,0.17419354838709677,1
弱势|同伴,4,0.11935483870967742,1
弱势|同伴,5,0.11290322580645161,1
弱势|同伴,6,0.13870967741935483,1
弱势|观众,0,0.17857818709392542,2
弱势|观众,1,0.1440169053176055,2
弱势|观众,2,0.07060703547172985,2
弱势|观众,3,0.2743287285266721,2
弱势|观众,4,0.09069366471120083,2
弱势|观众,5,0.104306230156227,2
弱势|观众,6,0.13746924872263927,2
弱势|评价者,0,0.0,1
弱势|评价者,1,0.2,1
弱势|评价者,2,0.0,1
弱势|评价者,3,0.6,1
弱势|评价者,4,0.0,1
弱势|评价者,5,0.2,1
弱势|评价者,6,0.0,1
强势|服务者,0,0.1961634476415714,1
强势|服务者,1,0.08040993299172251,1
强势|服务者,2,0.15096570752857705,1
强势|服务者,3,0.0890815924320063,1
强势|服务者,4,0.15622125870450662,1
强势|服务者,5,0.24543423991591118,1
强势|服务者,6,0.0817238207857049,1
成功|服务者,0,0.375,1
成功|服务者,1,0.0,1
成功|服务者,2,0.125,1
成功|服务者,3,0.125,1
成功|服务者,4,0.125,1
成功|服务者,5,0.0,1
成功|服务者,6,0.25,1
成功|被超越者,0,0.17162016723238677,2
成功|被超越者,1,0.1124679195297624,2
成功|被超越者,2,0.10255815878797914,2
成功|被超越者,3,0.13386869773987914,2
成功|被超越者,4,0.17581753456411953,2
成功|被超越者,5,0.13192317244805032,2
成功|被超越者,6,0.17174434969782265,2
成功|观众,0,0.1671455938697318,1
成功|观众,1,0.1343390804597701,1
成功|观众,2,0.14439655172413793,1
成功|观众,3,0.11398467432950192,1
成功|观众,4,0.1700191570881226,1
成功|观众,5,0.09794061302681992,1
成功|观众,6,0.17217432950191572,1
