robot_status,topic,mean_share_post_averaged,n_posts_in_status
,0,0.14042308271887377,18
,1,0.15646038795545014,18
,2,0.12072817781335776,18
,3,0.14287923029668773,18
,4,0.16575550429003028,18
,5,0.121388046059105,18
,6,0.15236557086649524,18
中性,0,0.18286710661951613,3
中性,1,0.1605892218443086,3
中性,2,0.07435388759012661,3
中性,3,0.17236224689640842,3
中性,4,0.1642535966802405,3
中性,5,0.08870716324132473,3
中性,6,0.15686677712807506,3
失败,0,0.15373327873327872,3
失败,1,0.12448287448287447,3
失败,2,0.11563661563661565,3
失败,3,0.17095067095067096,3
失败,4,0.18849093849093848,3
失败,5,0.11576786576786575,3
失败,6,0.13093775593775595,3
弱势,0,0.1320310290308337,4
弱势,1,0.17281490427170598,4
弱势,2,0.05546480805844557,4
弱势,3,0.3307127513601103,4
弱势,4,0.07518554203301978,4
弱势,5,0.1303789215297264,4
弱势,6,0.10341204371615834,4
强势,0,0.1961634476415714,1
强势,1,0.08040993299172251,1
强势,2,0.15096570752857705,1
强势,3,0.0890815924320063,1
强势,4,0.15622125870450662,1
强势,5,0.24543423991591118,1
强势,6,0.0817238207857049,1
成功,0,0.22134648208362634,4
成功,1,0.08981872987982373,4
成功,2,0.11862821732502404,4
成功,3,0.12668051745231504,4
成功,4,0.16166355655409043,4
成功,5,0.09044673948073015,4
成功,6,0.19141575722439025,4
