post_category,topic,mean_share_post_averaged,n_posts_in_category
中性|观众,0,0.11189303307529909,1
中性|观众,1,0.03589021815622801,1
中性|观众,2,0.011259676284306826,1
中性|观众,3,0.021815622800844477,1
中性|观众,4,0.16326530612244897,1
中性|观众,5,0.02674173117522871,1
中性|观众,6,0.021815622800844477,1
中性|观众,7,0.05207600281491907,1
中性|观众,8,0.07037297677691766,1
中性|观众,9,0.27515833919774807,1
中性|观众,10,0.059113300492610835,1
中性|观众,11,0.1505981703026038,1
中性|评价者,0,0.16274970622796708,2
中性|评价者,1,0.013513513513513514,2
中性|评价者,2,0.020759890325107718,2
中性|评价者,3,0.12651782216999607,2
中性|评价者,4,0.014492753623188406,2
中性|评价者,5,0.04876615746180964,2
中性|评价者,6,0.007246376811594203,2
中性|评价者,7,0.09753231492361927,2
中性|评价者,8,0.07050528789659224,2
中性|评价者,9,0.17626321974148063,2
中性|评价者,10,0.09655307481394439,2
中性|评价者,11,0.16509988249118684,2
失败|抢救者,0,0.28767403767403765,2
失败|抢救者,1,0.05164823914823915,2
失败|抢救者,2,0.007115069615069615,2
失败|抢救者,3,0.01694307944307944,2
失败|抢救者,4,0.012899262899262898,2
失败|抢救者,5,0.029995904995904998,2
失败|抢救者,6,0.03368140868140868,2
失败|抢救者,7,0.06511056511056512,2
失败|抢救者,8,0.05927518427518428,2
失败|抢救者,9,0.1921068796068796,2
失败|抢救者,10,0.03752047502047502,2
失败|抢救者,11,0.20602989352989354,2
失败|观众,0,0.10256410256410256,1
失败|观众,1,0.038461538461538464,1
失败|观众,2,0.01282051282051282,1
失败|观众,3,0.02564102564102564,1
失败|观众,4,0.02564102564102564,1
失败|观众,5,0.05128205128205128,1
失败|观众,6,0.15384615384615385,1
失败|观众,7,0.0641025641025641,1
失败|观众,8,0.0641025641025641,1
失败|观众,9,0.1794871794871795,1
失败|观众,10,0.038461538461538464,1
失败|观众,11,0.24358974358974358,1
弱势|同伴,0,0.14516129032258066,1
弱势|同伴,1,0.02258064516129032,1
弱势|同伴,2,0.03225806451612903,1
弱势|同伴,3,0.016129032258064516,1
弱势|同伴,4,0.07741935483870968,1
弱势|同伴,5,0.016129032258064516,1
弱势|同伴,6,0.016129032258064516,1
弱势|同伴,7,0.05161290322580645,1
弱势|同伴,8,0.12903225806451613,1
弱势|同伴,9,0.2,1
弱势|同伴,10,0.09032258064516129,1
弱势|同伴,11,0.2032258064516129,1
弱势|观众,0,0.10211947265501797,2
弱势|观众,1,0.025309615425050988,2
弱势|观众,2,0.007767194432178977,2
弱势|观众,3,0.02339409996004962,2
弱势|观众,4,0.27424882777182025,2
弱势|观众,5,0.02600559305283963,2
弱势|观众,6,0.022605605668748294,2
弱势|观众,7,0.07270758426375659,2
弱势|观众,8,0.125519880569398,2
弱势|观众,9,0.12088773943943312,2
弱势|观众,10,0.07567652810193654,2
弱势|观众,11,0.12375785865976996,2
弱势|评价者,0,0.0,1
弱势|评价者,1,0.0,1
弱势|评价者,2,0.0,1
弱势|评价者,3,0.0,1
弱势|评价者,4,0.2,1
弱势|评价者,5,0.0,1
弱势|评价者,6,0.2,1
弱势|评价者,7,0.0,1
弱势|评价者,8,0.0,1
弱势|评价者,9,0.4,1
弱势|评价者,10,0.0,1
弱势|评价者,11,0.2,1
强势|服务者,0,0.13020628038365523,1
强势|服务者,1,0.08382604125607673,1
强势|服务者,2,0.0073577716463014056,1
强势|服务者,3,0.05557745368545526,1
强势|服务者,4,0.007226382866903166,1
强势|服务者,5,0.05058468006832217,1
强势|服务者,6,0.16397319668900276,1
强势|服务者,7,0.053475233215083434,1
强势|服务者,8,0.06122717119957956,1
强势|服务者,9,0.0563657863618447,1
强势|服务者,10,0.08579687294705032,1
强势|服务者,11,0.24438312968072526,1
成功|服务者,0,0.0,1
成功|服务者,1,0.0,1
成功|服务者,2,0.0,1
成功|服务者,3,0.0,1
成功|服务者,4,0.0,1
成功|服务者,5,0.0,1
成功|服务者,6,0.0,1
成功|服务者,7,0.0,1
成功|服务者,8,0.0,1
成功|服务者,9,0.125,1
成功|服务者,10,0.625,1
成功|服务者,11,0.25,1
成功|被超越者,0,0.1567845020283136,2
成功|被超越者,1,0.07513867041973674,2
成功|被超越者,2,0.021947181058034605,2
成功|被超越者,3,0.03805778624058283,2
成功|被超越者,4,0.028694428346717444,2
成功|被超越者,5,0.028876562629356735,2
成功|被超越者,6,0.047421144134448215,2
成功|被超越者,7,0.09295471479427106,2
成功|被超越者,8,0.07064326517095787,2
成功|被超越者,9,0.11350277340839474,2
成功|被超越者,10,0.05684245384551701,2
成功|被超越者,11,0.26913651792366916,2
成功|观众,0,0.16475095785440613,1
成功|观众,1,0.06202107279693487,1
成功|观众,2,0.008860153256704981,1
成功|观众,3,0.020354406130268198,1
成功|观众,4,0.011733716475095786,1
成功|观众,5,0.04909003831417624,1
成功|观众,6,0.03735632183908046,1
成功|观众,7,0.0988984674329502,1
成功|观众,8,0.05459770114942529,1
成功|观众,9,0.1539750957854406,1
成功|观众,10,0.0603448275862069,1
成功|观众,11,0.27801724137931033,1
