帖子id,topic,count,n_comments,share_within_cell
69da7e87000000001a03484e,0,688,4176,0.16475095785440613
69da7e87000000001a03484e,1,259,4176,0.06202107279693487
69da7e87000000001a03484e,2,37,4176,0.008860153256704981
69da7e87000000001a03484e,3,85,4176,0.020354406130268198
69da7e87000000001a03484e,4,49,4176,0.011733716475095786
69da7e87000000001a03484e,5,205,4176,0.04909003831417624
69da7e87000000001a03484e,6,156,4176,0.03735632183908046
69da7e87000000001a03484e,7,413,4176,0.0988984674329502
69da7e87000000001a03484e,8,228,4176,0.05459770114942529
69da7e87000000001a03484e,9,643,4176,0.1539750957854406
69da7e87000000001a03484e,10,252,4176,0.0603448275862069
69da7e87000000001a03484e,11,1161,4176,0.27801724137931033
69db34bb000000001a0348ae,0,116,296,0.3918918918918919
69db34bb000000001a0348ae,1,17,296,0.057432432432432436
69db34bb000000001a0348ae,2,3,296,0.010135135135135136
69db34bb000000001a0348ae,3,3,296,0.010135135135135136
69db34bb000000001a0348ae,4,4,296,0.013513513513513514
69db34bb000000001a0348ae,5,10,296,0.033783783783783786
69db34bb000000001a0348ae,6,10,296,0.033783783783783786
69db34bb000000001a0348ae,7,16,296,0.05405405405405406
69db34bb000000001a0348ae,8,14,296,0.0472972972972973
69db34bb000000001a0348ae,9,49,296,0.16554054054054054
69db34bb000000001a0348ae,10,5,296,0.016891891891891893
69db34bb000000001a0348ae,11,49,296,0.16554054054054054
69df625d0000000021005c63,0,218,1200,0.18166666666666667
69df625d0000000021005c63,1,52,1200,0.043333333333333335
69df625d0000000021005c63,2,14,1200,0.011666666666666667
69df625d0000000021005c63,3,60,1200,0.05
69df625d0000000021005c63,4,31,1200,0.025833333333333333
69df625d0000000021005c63,5,38,1200,0.03166666666666667
69df625d0000000021005c63,6,17,1200,0.014166666666666666
69df625d0000000021005c63,7,81,1200,0.0675
69df625d0000000021005c63,8,100,1200,0.08333333333333333
69df625d0000000021005c63,9,292,1200,0.24333333333333335
69df625d0000000021005c63,10,67,1200,0.05583333333333333
69df625d0000000021005c63,11,230,1200,0.19166666666666668
69e2583b00000000230211ea,0,224,1221,0.18345618345618345
69e2583b00000000230211ea,1,56,1221,0.04586404586404586
69e2583b00000000230211ea,2,5,1221,0.004095004095004095
69e2583b00000000230211ea,3,29,1221,0.02375102375102375
69e2583b00000000230211ea,4,15,1221,0.012285012285012284
69e2583b00000000230211ea,5,32,1221,0.02620802620802621
69e2583b00000000230211ea,6,41,1221,0.03357903357903358
69e2583b00000000230211ea,7,93,1221,0.07616707616707617
69e2583b00000000230211ea,8,87,1221,0.07125307125307126
69e2583b00000000230211ea,9,267,1221,0.21867321867321868
69e2583b00000000230211ea,10,71,1221,0.05814905814905815
69e2583b00000000230211ea,11,301,1221,0.24651924651924653
69e40352000000002102fc75,0,154,701,0.21968616262482168
69e40352000000002102fc75,1,56,701,0.07988587731811697
69e40352000000002102fc75,2,7,701,0.009985734664764621
69e40352000000002102fc75,3,33,701,0.047075606276747506
69e40352000000002102fc75,4,23,701,0.03281027104136947
69e40352000000002102fc75,5,55,701,0.07845934379457917
69e40352000000002102fc75,6,16,701,0.02282453637660485
69e40352000000002102fc75,7,54,701,0.07703281027104136
69e40352000000002102fc75,8,61,701,0.08701854493580599
69e40352000000002102fc75,9,65,701,0.09272467902995721
69e40352000000002102fc75,10,39,701,0.05563480741797432
69e40352000000002102fc75,11,138,701,0.19686162624821682
69e41e24000000001a025f1a,0,8,78,0.10256410256410256
69e41e24000000001a025f1a,1,3,78,0.038461538461538464
69e41e24000000001a025f1a,2,1,78,0.01282051282051282
69e41e24000000001a025f1a,3,2,78,0.02564102564102564
69e41e24000000001a025f1a,4,2,78,0.02564102564102564
69e41e24000000001a025f1a,5,4,78,0.05128205128205128
69e41e24000000001a025f1a,6,12,78,0.15384615384615385
69e41e24000000001a025f1a,7,5,78,0.0641025641025641
69e41e24000000001a025f1a,8,5,78,0.0641025641025641
69e41e24000000001a025f1a,9,14,78,0.1794871794871795
69e41e24000000001a025f1a,10,3,78,0.038461538461538464
69e41e24000000001a025f1a,11,19,78,0.24358974358974358
69e429b4000000001b00037a,0,63,473,0.1331923890063425
69e429b4000000001b00037a,1,13,473,0.02748414376321353
69e429b4000000001b00037a,2,2,473,0.004228329809725159
69e429b4000000001b00037a,3,33,473,0.06976744186046512
69e429b4000000001b00037a,4,9,473,0.019027484143763214
69e429b4000000001b00037a,5,27,473,0.05708245243128964
69e429b4000000001b00037a,6,10,473,0.021141649048625793
69e429b4000000001b00037a,7,55,473,0.11627906976744186
69e429b4000000001b00037a,8,85,473,0.17970401691331925
69e429b4000000001b00037a,9,79,473,0.16701902748414377
69e429b4000000001b00037a,10,42,473,0.08879492600422834
69e429b4000000001b00037a,11,55,473,0.11627906976744186
69e42cc100000000220001ad,0,103,955,0.10785340314136126
69e42cc100000000220001ad,1,33,955,0.03455497382198953
69e42cc100000000220001ad,2,11,955,0.011518324607329843
69e42cc100000000220001ad,3,14,955,0.014659685863874346
69e42cc100000000220001ad,4,240,955,0.2513089005235602
69e42cc100000000220001ad,5,42,955,0.04397905759162304
69e42cc100000000220001ad,6,24,955,0.025130890052356022
69e42cc100000000220001ad,7,66,955,0.06910994764397906
69e42cc100000000220001ad,8,94,955,0.09842931937172775
69e42cc100000000220001ad,9,112,955,0.11727748691099477
69e42cc100000000220001ad,10,64,955,0.06701570680628273
69e42cc100000000220001ad,11,152,955,0.15916230366492146
69e43a5a000000001d01dcc7,0,15,69,0.21739130434782608
69e43a5a000000001d01dcc7,2,1,69,0.014492753623188406
69e43a5a000000001d01dcc7,3,10,69,0.14492753623188406
69e43a5a000000001d01dcc7,4,2,69,0.028985507246376812
69e43a5a000000001d01dcc7,5,3,69,0.043478260869565216
69e43a5a000000001d01dcc7,6,1,69,0.014492753623188406
69e43a5a000000001d01dcc7,7,6,69,0.08695652173913043
69e43a5a000000001d01dcc7,8,6,69,0.08695652173913043
69e43a5a000000001d01dcc7,9,15,69,0.21739130434782608
69e43a5a000000001d01dcc7,10,4,69,0.057971014492753624
69e43a5a000000001d01dcc7,11,6,69,0.08695652173913043
69e43b14000000001a02e095,0,66,702,0.09401709401709402
69e43b14000000001a02e095,1,24,702,0.03418803418803419
69e43b14000000001a02e095,2,2,702,0.002849002849002849
69e43b14000000001a02e095,3,25,702,0.03561253561253561
69e43b14000000001a02e095,4,85,702,0.12108262108262108
69e43b14000000001a02e095,5,19,702,0.027065527065527065
69e43b14000000001a02e095,6,208,702,0.2962962962962963
69e43b14000000001a02e095,7,35,702,0.04985754985754986
69e43b14000000001a02e095,8,49,702,0.0698005698005698
69e43b14000000001a02e095,9,60,702,0.08547008547008547
69e43b14000000001a02e095,10,34,702,0.04843304843304843
69e43b14000000001a02e095,11,95,702,0.13532763532763534
69e4412a000000002103883f,0,40,295,0.13559322033898305
69e4412a000000002103883f,1,31,295,0.10508474576271186
69e4412a000000002103883f,2,1,295,0.003389830508474576
69e4412a000000002103883f,3,27,295,0.09152542372881356
69e4412a000000002103883f,4,14,295,0.04745762711864407
69e4412a000000002103883f,5,10,295,0.03389830508474576
69e4412a000000002103883f,6,16,295,0.05423728813559322
69e4412a000000002103883f,7,31,295,0.10508474576271186
69e4412a000000002103883f,8,16,295,0.05423728813559322
69e4412a000000002103883f,9,40,295,0.13559322033898305
69e4412a000000002103883f,10,16,295,0.05423728813559322
69e4412a000000002103883f,11,53,295,0.17966101694915254
69e44171000000001a026b25,0,50,328,0.1524390243902439
69e44171000000001a026b25,1,14,328,0.042682926829268296
69e44171000000001a026b25,2,4,328,0.012195121951219513
69e44171000000001a026b25,3,15,328,0.04573170731707317
69e44171000000001a026b25,4,5,328,0.01524390243902439
69e44171000000001a026b25,5,5,328,0.01524390243902439
69e44171000000001a026b25,6,25,328,0.07621951219512195
69e44171000000001a026b25,7,23,328,0.0701219512195122
69e44171000000001a026b25,8,35,328,0.10670731707317073
69e44171000000001a026b25,9,78,328,0.23780487804878048
69e44171000000001a026b25,10,19,328,0.057926829268292686
69e44171000000001a026b25,11,55,328,0.1676829268292683
69e4426b000000001d01c7ed,0,159,1421,0.11189303307529909
69e4426b000000001d01c7ed,1,51,1421,0.03589021815622801
69e4426b000000001d01c7ed,2,16,1421,0.011259676284306826
69e4426b000000001d01c7ed,3,31,1421,0.021815622800844477
69e4426b000000001d01c7ed,4,232,1421,0.16326530612244897
69e4426b000000001d01c7ed,5,38,1421,0.02674173117522871
69e4426b000000001d01c7ed,6,31,1421,0.021815622800844477
69e4426b000000001d01c7ed,7,74,1421,0.05207600281491907
69e4426b000000001d01c7ed,8,100,1421,0.07037297677691766
69e4426b000000001d01c7ed,9,391,1421,0.27515833919774807
69e4426b000000001d01c7ed,10,84,1421,0.059113300492610835
69e4426b000000001d01c7ed,11,214,1421,0.1505981703026038
69e44278000000001a0217bb,0,49,235,0.20851063829787234
69e44278000000001a0217bb,1,28,235,0.11914893617021277
69e44278000000001a0217bb,2,3,235,0.01276595744680851
69e44278000000001a0217bb,3,6,235,0.02553191489361702
69e44278000000001a0217bb,4,8,235,0.03404255319148936
69e44278000000001a0217bb,5,9,235,0.03829787234042553
69e44278000000001a0217bb,6,4,235,0.01702127659574468
69e44278000000001a0217bb,7,19,235,0.08085106382978724
69e44278000000001a0217bb,8,14,235,0.059574468085106386
69e44278000000001a0217bb,9,25,235,0.10638297872340426
69e44278000000001a0217bb,10,13,235,0.05531914893617021
69e44278000000001a0217bb,11,57,235,0.2425531914893617
69e447d2000000001d01aa01,0,86,929,0.09257265877287406
69e447d2000000001d01aa01,1,32,929,0.03444564047362755
69e447d2000000001d01aa01,2,4,929,0.004305705059203444
69e447d2000000001d01aa01,3,33,929,0.03552206673842842
69e447d2000000001d01aa01,4,3,929,0.0032292787944025836
69e447d2000000001d01aa01,5,51,929,0.05489773950484392
69e447d2000000001d01aa01,6,8,929,0.008611410118406888
69e447d2000000001d01aa01,7,52,929,0.05597416576964478
69e447d2000000001d01aa01,8,33,929,0.03552206673842842
69e447d2000000001d01aa01,9,61,929,0.06566200215285253
69e447d2000000001d01aa01,10,423,929,0.45532831001076424
