robot_status,topic,mean_share_post_averaged,n_posts_in_status
,0,0.15082706985339858,18
,1,0.04737922698133251,18
,2,0.03302388240939215,18
,3,0.05217131120197796,18
,4,0.04695368196678676,18
,5,0.03114361298098218,18
,6,0.050076716786789204,18
,7,0.07959441310184515,18
,8,0.0772933460864762,18
,9,0.1782545341083784,18
,10,0.08087253378440651,18
,11,0.17240967073823435,18
中性,0,0.14579748184374444,3
中性,1,0.02097241506108501,3
中性,2,0.01759315231150742,3
中性,3,0.09161708904694554,3
中性,4,0.06408360445627526,3
中性,5,0.04142468203294933,3
中性,6,0.012102792141344293,3
中性,7,0.08238021088738588,3
中性,8,0.07046118419003405,3
中性,9,0.20922825956023647,3
中性,10,0.08407315004016654,3
中性,11,0.16026597842832582,3
失败,0,0.22597072597072596,3
失败,1,0.04725267225267225,3
失败,2,0.009016884016884016,3
失败,3,0.01984239484239484,3
失败,4,0.017146517146517146,3
失败,5,0.03709128709128709,3
失败,6,0.07373632373632373,3
失败,7,0.06477456477456478,3
失败,8,0.06088431088431088,3
失败,9,0.18790031290031292,3
失败,10,0.037834162834162834,3
失败,11,0.21854984354984355,3
弱势,0,0.08735005890815414,4
弱势,1,0.018299969002848075,4
弱势,2,0.011948113345121747,4
弱势,3,0.015729308044540938,4
弱势,4,0.20647925259558753,4
弱势,5,0.017035054590935943,4
弱势,6,0.06533506089889027,4
弱势,7,0.049257017938329914,4
弱势,8,0.09501800480082803,4
弱势,9,0.21044386971971657,4
弱势,10,0.06041890921225859,4
弱势,11,0.1626853809427882,4
强势,0,0.13020628038365523,1
强势,1,0.08382604125607673,1
强势,2,0.0073577716463014056,1
强势,3,0.05557745368545526,1
强势,4,0.007226382866903166,1
强势,5,0.05058468006832217,1
强势,6,0.16397319668900276,1
强势,7,0.053475233215083434,1
强势,8,0.06122717119957956,1
强势,9,0.0563657863618447,1
强势,10,0.08579687294705032,1
强势,11,0.24438312968072526,1
成功,0,0.11957999047775834,4
成功,1,0.053074603409102084,4
成功,2,0.013188628843193547,4
成功,3,0.024117494652858465,4
成功,4,0.01728064329213267,4
成功,5,0.026710790893222428,4
成功,6,0.033049652526994225,4
成功,7,0.07120197425537307,4
成功,8,0.048971057872835254,4
成功,9,0.12649516065055752,4
成功,10,0.19975743381931024,4
成功,11,0.2665725693066622,4
