帖子id,topic,count,n_comments,share_within_cell
69db34bb000000001a0348ae,0,63,117,0.5384615384615384
69db34bb000000001a0348ae,1,54,117,0.46153846153846156
69df625d0000000021005c63,0,477,789,0.6045627376425855
69df625d0000000021005c63,1,312,789,0.39543726235741444
69e2583b00000000230211ea,0,454,682,0.6656891495601173
69e2583b00000000230211ea,1,228,682,0.3343108504398827
69e41e24000000001a025f1a,0,37,53,0.6981132075471698
69e41e24000000001a025f1a,1,16,53,0.3018867924528302
69e48b0b000000001a02578c,0,43,114,0.37719298245614036
69e48b0b000000001a02578c,1,71,114,0.6228070175438597
