帖子id,topic,count,n_comments,share_within_cell
69db34bb000000001a0348ae,0,122,221,0.5520361990950227
69db34bb000000001a0348ae,1,33,221,0.1493212669683258
69db34bb000000001a0348ae,2,26,221,0.11764705882352941
69db34bb000000001a0348ae,3,27,221,0.12217194570135746
69db34bb000000001a0348ae,4,13,221,0.058823529411764705
69df625d0000000021005c63,0,367,1172,0.31313993174061433
69df625d0000000021005c63,1,284,1172,0.24232081911262798
69df625d0000000021005c63,2,143,1172,0.1220136518771331
69df625d0000000021005c63,3,95,1172,0.0810580204778157
69df625d0000000021005c63,4,283,1172,0.24146757679180889
69e2583b00000000230211ea,0,287,1185,0.24219409282700421
69e2583b00000000230211ea,1,211,1185,0.1780590717299578
69e2583b00000000230211ea,2,256,1185,0.2160337552742616
69e2583b00000000230211ea,3,307,1185,0.2590717299578059
69e2583b00000000230211ea,4,124,1185,0.10464135021097046
69e41e24000000001a025f1a,0,17,76,0.2236842105263158
69e41e24000000001a025f1a,1,18,76,0.23684210526315788
69e41e24000000001a025f1a,2,14,76,0.18421052631578946
69e41e24000000001a025f1a,3,14,76,0.18421052631578946
69e41e24000000001a025f1a,4,13,76,0.17105263157894737
69e48b0b000000001a02578c,0,84,191,0.4397905759162304
69e48b0b000000001a02578c,1,22,191,0.11518324607329843
69e48b0b000000001a02578c,2,49,191,0.25654450261780104
69e48b0b000000001a02578c,3,24,191,0.1256544502617801
69e48b0b000000001a02578c,4,12,191,0.06282722513089005
