post_category,topic,mean_share_post_averaged,n_posts_in_category
失败|抢救者,0,0.321413979418447,2
失败|抢救者,1,0.05768180689997518,2
失败|抢救者,2,0.05427000400939344,2
失败|抢救者,3,0.09235351394696145,2
失败|抢救者,4,0.06152318765870516,2
失败|抢救者,5,0.04736621035950894,2
失败|抢救者,6,0.06439658628787445,2
失败|抢救者,7,0.06846325677301106,2
失败|抢救者,8,0.05702693930542032,2
失败|抢救者,9,0.057223590507283734,2
失败|抢救者,10,0.06006071367203162,2
失败|抢救者,11,0.05822021116138763,2
失败|服务者,0,0.2356020942408377,1
失败|服务者,1,0.08376963350785341,1
失败|服务者,2,0.03664921465968586,1
失败|服务者,3,0.015706806282722512,1
失败|服务者,4,0.06806282722513089,1
失败|服务者,5,0.05759162303664921,1
失败|服务者,6,0.08376963350785341,1
失败|服务者,7,0.1099476439790576,1
失败|服务者,8,0.1256544502617801,1
失败|服务者,9,0.08376963350785341,1
失败|服务者,10,0.02617801047120419,1
失败|服务者,11,0.07329842931937172,1
失败|观众,0,0.16903179450332315,2
失败|观众,1,0.08359529369498833,2
失败|观众,2,0.08298904257230105,2
失败|观众,3,0.056358900664630854,2
失败|观众,4,0.06489132387282198,2
失败|观众,5,0.08750224537452847,2
失败|观众,6,0.04796119992814801,2
失败|观众,7,0.11514280582001077,2
失败|观众,8,0.07111101131668762,2
失败|观众,9,0.057279504221304116,2
失败|观众,10,0.061051733429135974,2
失败|观众,11,0.10308514460211964,2
