帖子id,topic,count,n_comments,share_within_cell
69db34bb000000001a0348ae,0,137,221,0.6199095022624435
69db34bb000000001a0348ae,1,23,221,0.10407239819004525
69db34bb000000001a0348ae,2,20,221,0.09049773755656108
69db34bb000000001a0348ae,3,22,221,0.09954751131221719
69db34bb000000001a0348ae,4,19,221,0.08597285067873303
69df625d0000000021005c63,0,411,1172,0.3506825938566553
69df625d0000000021005c63,1,203,1172,0.17320819112627986
69df625d0000000021005c63,2,189,1172,0.1612627986348123
69df625d0000000021005c63,3,173,1172,0.1476109215017065
69df625d0000000021005c63,4,196,1172,0.16723549488054607
69e2583b00000000230211ea,0,390,1185,0.3291139240506329
69e2583b00000000230211ea,1,181,1185,0.15274261603375527
69e2583b00000000230211ea,2,178,1185,0.150210970464135
69e2583b00000000230211ea,3,246,1185,0.20759493670886076
69e2583b00000000230211ea,4,190,1185,0.16033755274261605
69e41e24000000001a025f1a,0,27,76,0.35526315789473684
69e41e24000000001a025f1a,1,15,76,0.19736842105263158
69e41e24000000001a025f1a,2,14,76,0.18421052631578946
69e41e24000000001a025f1a,3,12,76,0.15789473684210525
69e41e24000000001a025f1a,4,8,76,0.10526315789473684
69e48b0b000000001a02578c,0,82,191,0.4293193717277487
69e48b0b000000001a02578c,1,43,191,0.225130890052356
69e48b0b000000001a02578c,2,16,191,0.08376963350785341
69e48b0b000000001a02578c,3,32,191,0.16753926701570682
69e48b0b000000001a02578c,4,18,191,0.09424083769633508
