帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group,topic,topic_prob
69e48b0b000000001a02578c,"北京马拉松机器人中暑了🥵

",3334.0,467.0,2,69f01830000000002701c274,69ecb9a7000000002803354c,59d2fca351783a3b62074e50,因为这是机器人，他叫机器人因为他是人形的，有轮子的机器人叫无人驾驶汽车……人家又不是只研究人形的，狗型的机械臂的早就用了多少年了，人形自然有他的用处,2026.04.28,北京,2.0,,74,失败|服务者,失败,服务者,17,失败,0,0.9385661683277633
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,2,69e0e986000000001401bc10,69dfd6530000000001007b36,609049070000000001006ce1,"打那么多字，没有一句是解释为什么是“人形”的[偷笑R]
智能机器人早已经遍布各个领域，各有其最适合的形态。人形呢[偷笑R]难道是等技术成熟了给你解决单身问题吗",2026.04.16,日本,0.0,,79,失败|观众,失败,观众,19,失败,0,0.9338816865392099
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,2,69e467540000000014019c0c,69df8f1f000000003502b58d,6395fc2b00000000260049b2,你还是担心下吧，事实上机器人也只有人型机器人在发展阶段，四足机器人和轮式机器人都已经量产很多年了,2026.04.19,黑龙江,0.0,,48,失败|观众,失败,观众,14,失败,0,0.9045562483805519
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69dfaccf00000000150004d6,,60fef313000000002002b2b5,现在的机器人都能跑出你的人生百态，走出我的现实疲态！厉害的衣服哥一路的坚持，也需要在发展大道上停下来思考人生！～前路漫漫其修远兮！,2026.04.15,广东,0.0,0.0,65,失败|观众,失败,观众,17,失败,0,0.9044947982566748
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,2,69e0c67d000000001401cc29,69dfd6530000000001007b36,609049070000000001006ce1,汽车刚发明的时候就能作为交通工具载人了，本就是作为载人交通工具发明的。请问人形机器人发明的目的是什么[偷笑R],2026.04.16,日本,0.0,,55,失败|观众,失败,观众,13,失败,0,0.8926837772519617
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69e04265000000000d03c66a,,61f7c255000000001000f90f,有个问题，老美机器人玩了那么多年，波士顿动力啥的，一直没出来应用，他们在骗研发钱？,2026.04.16,江苏,0.0,0.0,41,失败|观众,失败,观众,10,失败,0,0.892625013258849
69e48b0b000000001a02578c,"北京马拉松机器人中暑了🥵

",3334.0,467.0,1,69ef2e5b000000002902cd01,,6304a4be000000000f006a16,机器人提供了新的就业岗位，一个机器人跑马拉松需要两个助理,2026.04.27,云南,3414.0,99.0,28,失败|服务者,失败,服务者,9,失败,0,0.8774796699552263
69e2583b00000000230211ea,"

",,2406.0,1,69e89e94000000001401ac1e,,647e17b8000000001f006a30,就业岗位挺多啊，摔一跤就解决了4个人的饭碗，还不包括零部件公司，售后，机修师傅[偷笑R][偷笑R][偷笑R],2026.04.22,上海,2.0,0.0,54,失败|抢救者,失败,抢救者,12,失败,0,0.8774654248260755
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc9e1b0000000015009b36,,651aaa360000000024016c3f,原来是机器人的医生啊，我以为是机器人医生呢,2026.04.13,辽宁,1.0,0.0,21,失败|抢救者,失败,抢救者,6,失败,0,0.8774379081750826
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69dfa69b000000002b036937,,5daf5dba000000000100810b,机器人为什么一定要人形态？不能用履带 轮子？,2026.04.15,美国,0.0,0.0,22,失败|观众,失败,观众,7,失败,0,0.8773725802803017
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc9ef80000000035012899,,5b2e24fde8ac2b56e8394cd1,机器人救护车，我还以为是机器人抢救人[笑哭R],2026.04.13,北京,0.0,0.0,23,失败|抢救者,失败,抢救者,6,失败,0,0.877338709993984
69e2583b00000000230211ea,"

",,2406.0,1,69e867f5000000001401a008,,5fbda14e0000000001001bde,[捂脸R]长距离移动我另有机械可选，不知道为什么机器人要参加马拉松,2026.04.22,浙江,0.0,0.0,33,失败|抢救者,失败,抢救者,9,失败,0,0.8772866283600805
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69df9d5e000000001500ae5a,,577fbef96a6a6920f3ea6059,工业和科技从来没有后来居上这种事情，拼的都是工业基础和科技底蕴，静下心来做点实事比盲目自大有用,2026.04.15,北京,0.0,0.0,47,失败|观众,失败,观众,15,失败,0,0.8772593441892854
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69e1ba81000000001401e027,,62c3f3320000000019029863,为啥国产机器人摔一跤就缺胳膊少腿的，难道设计标准是摔跤？[呃R],2026.04.17,上海,0.0,0.0,32,失败|观众,失败,观众,8,失败,0,0.8571217656021934
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69e0deb2000000001401c422,,6790ab37000000000a03fbae,为什么非要纠结机器人必须是人形呢？在这么玩下去，就废了！,2026.04.16,福建,0.0,0.0,28,失败|观众,失败,观众,7,失败,0,0.8571054591697819
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69e030c20000000002028a01,,56c728da4775a7223a142f82,为啥机器人一定要做成人形的？有什么必要吗,2026.04.16,北京,15.0,18.0,20,失败|观众,失败,观众,5,失败,0,0.8570145438911759
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,2,69dcb0b900000000350151ec,69dc9de80000000002029fb1,65d1e7e2000000000401d2b0,估计有专门抬机器人的机器人，你可以去抬坏了的抬机器人的机器人,2026.04.13,江苏,130.0,,30,失败|抢救者,失败,抢救者,7,失败,0,0.8569740892340404
69e2583b00000000230211ea,"

",,2406.0,2,69e445c5000000001401dc0b,69e2fc2d000000001401b82a,6499ad44000000000a021077,科技需要学习，更需要引导，你好像是做到了。[捂脸R],2026.04.19,辽宁,0.0,,26,失败|抢救者,失败,抢救者,8,失败,0,0.8569544763993785
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69dfa9720000000035032fed,,6499b9b9000000002a0373aa,为什么一定要做成人的样子呢[失望R],2026.04.15,上海,1.0,0.0,18,失败|观众,失败,观众,5,失败,0,0.8568876439940225
69e2583b00000000230211ea,"

",,2406.0,1,69e96cf30000000014018c12,,667ec5a8000000000303387a,把机器人做成人的样子永远是最大的一个悖论[笑哭R],2026.04.23,北京,1.0,0.0,25,失败|抢救者,失败,抢救者,7,失败,0,0.8568351378619687
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,1,69e1121c000000001401ac06,,5b77b48742053200015d96b9,机器人如发神经病突然伤害路边行人怎么办？机器人手臂、脚都是金属外表，谁受得了？,2026.04.17,江苏,0.0,0.0,39,失败|观众,失败,观众,12,失败,0,0.8567952639128688
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,2,69e0bb97000000001401a41c,69e030c20000000002028a01,5c4498f20000000007034a22,人形比较复杂，时代的产物而已，会发展成陪伴型机器人，市场比较小，后面脑机接口有了就需要机器人躯体了，只有大脑，寿命更长了，再未来就只有精神世界了[笑哭R],2026.04.16,云南,0.0,,77,失败|观众,失败,观众,24,失败,0,0.833187512557511
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dcad20000000003102dde9,,54be4f7e2e1d9301c289e126,机器人跑马拉松需要交钱吗 需要报名抽签吗[汗颜R],2026.04.13,湖北,0.0,0.0,25,失败|抢救者,失败,抢救者,7,失败,0,0.8284672644042457
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc9ded0000000015006f16,,5fb5c36d0000000001001b84,这是救机器人，我还以为要机器人救人呢[笑哭R],2026.04.13,北京,1.0,0.0,23,失败|抢救者,失败,抢救者,4,失败,0,0.8284439551434075
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dc73fa00000000350236af,,5b825f4d72dd190001eeab6a,我还以为是机器人医生来救人[笑哭R],2026.04.13,北京,2706.0,62.0,18,失败|抢救者,失败,抢救者,4,失败,0,0.8284142715088723
69e2583b00000000230211ea,"

",,2406.0,2,69e30483000000001401d842,69e2f832000000001401e016,602605a3000000000101dc3b,机器人不是只有一家公司在研究,2026.04.18,浙江,2.0,,14,失败|抢救者,失败,抢救者,5,失败,0,0.828401096150196
69df625d0000000021005c63,"“扶我起来，我还能再跑10公里”

",,9992.0,2,69e7416f0000000014019403,69dfb3290000000002035b6b,5fff85440000000001001b06,想不通为什么非要发展人形的？,2026.04.21,云南,0.0,,14,失败|观众,失败,观众,5,失败,0,0.8283624511191948
69db34bb000000001a0348ae,"机器人抢救现场

",4896.0,1198.0,1,69dca2a8000000000103ef7f,,55cf6cf7e4b1cf63678f75e8,机器人还不能救人但是人已经可以救机器人了[得意R],2026.04.13,湖南,47.0,0.0,25,失败|抢救者,失败,抢救者,4,失败,0,0.8283501465349745
