post_category,topic,mean_share_post_averaged,n_posts_in_category
失败|抢救者,0,0.3254004620348626,2
失败|抢救者,1,0.07068178780762549,2
失败|抢救者,2,0.0609045955285717,2
失败|抢救者,3,0.02842278099165664,2
失败|抢救者,4,0.04606411211027741,2
失败|抢救者,5,0.008169616434694618,2
失败|抢救者,6,0.04284132348168089,2
失败|抢救者,7,0.13738472993871353,2
失败|抢救者,8,0.024697863566069074,2
失败|抢救者,9,0.04751894915707276,2
失败|抢救者,10,0.08790881493785441,2
失败|抢救者,11,0.12000496401092083,2
失败|服务者,0,0.27225130890052357,1
失败|服务者,1,0.10471204188481675,1
失败|服务者,2,0.015706806282722512,1
失败|服务者,3,0.031413612565445025,1
失败|服务者,4,0.02617801047120419,1
失败|服务者,5,0.005235602094240838,1
失败|服务者,6,0.13089005235602094,1
失败|服务者,7,0.17801047120418848,1
失败|服务者,8,0.02617801047120419,1
失败|服务者,9,0.05759162303664921,1
失败|服务者,10,0.005235602094240838,1
失败|服务者,11,0.14659685863874344,1
失败|观众,0,0.1924285970899946,2
失败|观众,1,0.09419346146937309,2
失败|观众,2,0.02741602299263517,2
失败|观众,3,0.05799802407041495,2
失败|观众,4,0.032782468115681695,2
失败|观众,5,0.06617118735405066,2
失败|观众,6,0.0787228309682055,2
失败|观众,7,0.17419615591880727,2
失败|观众,8,0.04522184300341297,2
失败|观众,9,0.08316867253457877,2
失败|观众,10,0.041314891323872824,2
失败|观众,11,0.10638584515897251,2
